"group","subj","sex","age","year","month","sample_number","date","time","Cr","SG","month.name","mum","bday","weaning","mid","neo_value","CV","neo_plate_number","neo_dilution","neo_date_assayed","neo_note","SG_corr_fac","neo_sg"
"twn","amos","M",5.57700205338809,2015,9,55,2015-09-04,2022-02-22 12:49:00,0.64,27,"sep","ambe",2010-02-16,2.650239562,2015-09-15,21.388,3.1,7,40,2018-04-17,"",0.992640849318374,849.224099408855
"gn","dean","M",4.68172484599589,2015,9,56,2015-09-04,2022-02-22 09:09:00,0.21,9,"sep","desd",2011-01-09,2.302532512,2015-09-15,NA,NA,NA,NA,NA,NA,2.97792254795512,NA
"tws","burn","F",6.54346338124572,2015,9,57,2015-09-04,2022-02-22 11:48:00,0.54,23,"sep","blaz",2009-02-28,2.247775496,2015-09-15,6.38,7.2,7,40,2018-04-17,"",1.16527404050418,297.377935136666
"gn","dean","M",4.68172484599589,2015,9,58,2015-09-07,2022-02-22 10:42:00,0.22,12,"sep","desd",2011-01-09,2.302532512,2015-09-15,5.81,3.5,6,20,2018-01-26,"",2.23344191096634,259.525950054289
"tws","atom","F",6.56262833675565,2015,9,59,2015-09-07,2022-02-22 14:06:00,1.6,46,"sep","arte",2009-02-21,2.795345654,2015-09-15,58.853,10.4,7,40,2018-04-17,"",0.582637020252089,1371.59746211585
"gn","ropa","M",5.73579739904175,2015,9,60,2015-09-07,2022-02-22 13:40:00,0.51,33,"sep","robe",2009-12-20,3.529089665,2015-09-15,10.736,10.8,1,40,2018-01-11,"",0.812160694896851,348.774288816504
"twn","safi","F",2.55167693360712,2015,9,61,2015-09-07,2022-02-22 12:00:00,0.34,11,"sep","saph",2013-02-25,1.741273101,2015-09-15,1.146,11.7,8,40,2018-04-25,"",2.43648208469055,111.688338762215
"twn","amos","M",5.57700205338809,2015,9,62,2015-09-07,2022-02-22 11:40:00,0.39,19,"sep","ambe",2010-02-16,2.650239562,2015-09-15,NA,NA,NA,NA,NA,NA,1.41059489113664,NA
"gn","renl","M",2.38466803559206,2015,9,63,2015-09-07,2022-02-22 14:05:00,0.46,25,"sep","robe",2013-04-27,1.834360027,2015-09-15,7.988,7.9,1,40,2018-01-11,"",1.07205211726384,342.542092508143
"twn","pam","F",2.52156057494867,2015,9,64,2015-09-07,2022-02-22 09:47:00,0.31,17,"sep","park",2013-03-08,1.796030116,2015-09-15,2.98,7.8,8,40,2018-04-25,"",1.57654723127036,187.924429967427
"twn","petr","F",5.45106091718001,2015,9,65,2015-09-07,2022-02-22 11:30:00,0.84,33,"sep","park",2010-04-03,2.565366188,2015-09-15,24.033,14.3,8,40,2018-04-25,"",0.812160694896851,780.746319218241
"gn","mend","F",5.61259411362081,2015,9,66,2015-09-08,2022-02-22 09:42:00,0.15,9,"sep","merl",2010-02-03,2.236824093,2015-09-15,NA,NA,NA,NA,NA,NA,2.97792254795512,NA
