,group,subj,date,time,sample_number,Cr,SG,Cr.plate.number,Cr.date,cp_dilution,cp_run,cp_assay_date,pg.ml_ucp,cp_batch,stdcr_CP,stdsg_CP,cp_note,month,year,sex,age,month.name,mum,bday,weaning,mid,neo_value,CV,neo_plate_number,neo_dilution,neo_date_assayed,neo_note,SG_corr_fac,neo_sg,month_name,pl,gmd,gm,r,n_agg_g,n_agg_r,n_obs
301,tws,bike,2016-02-01,2021-12-30 11:05:00,434,0.78,25.0,8.0,2016-11-03,10.0,6.0,11/21/16,10110.9,7.0,8819.900156,10834.28146,,2,2016,M,6.8911704312115,feb,bif,2009-03-26,2.264202601,2016-02-15,15.633,16.8,14.0,40.0,2018-05-08,,1.07205211726384,670.375629967427,feb,0.0,0.0194986072423398,0.011142061281337,0.309192200557103,0,3,359
302,tws,brog,2016-02-01,2021-12-30 10:38:00,435,1.24,36.0,8.0,2016-11-03,10.0,6.0,11/21/16,22346.3,7.0,12261.74828,16628.51366,,2,2016,F,7.08008213552361,feb,bow,2009-01-16,2.516084873,2016-02-15,41.643,12.4,14.0,40.0,2018-05-08,,0.74448063698878,1240.09628664495,feb,0.0,0.0,0.0166666666666667,0.3,1,1,360
303,tws,burn,2016-02-01,2021-12-30 08:15:00,436,1.5,31.0,8.0,2016-11-03,10.0,6.0,11/21/16,25207.4,7.0,11434.18594,21782.9486,,2,2016,F,6.96235455167693,feb,blaz,2009-02-28,2.247775496,2016-02-15,13.328,3.9,19.0,40.0,2018-05-16,,0.864558159083745,460.913245770726,feb,0.0083333333333333,0.0388888888888889,0.0666666666666667,0.283333333333333,0,6,360
304,gn,spad,2016-02-02,2021-12-30 11:27:00,441,0.84,30.0,8.0,2016-11-03,10.0,6.0,11/21/16,2446.7,7.0,1981.845945,2184.790379,,2,2016,F,6.07529089664613,feb,spik,2010-01-18,2.258726899,2016-02-15,13.72,11.0,2.0,40.0,2018-01-16,,0.893376764386536,490.285168295331,feb,0.0,0.0416666666666667,0.0833333333333333,0.327777777777778,3,8,360
305,gn,ropa,2016-02-02,2021-12-30 09:52:00,444,0.4,25.0,8.0,2016-11-03,10.0,6.0,11/21/16,5776.02,7.0,9825.103939,6189.263707,,2,2016,M,6.15468856947296,feb,robe,2009-12-20,3.529089665,2016-02-15,7.607,2.4,2.0,40.0,2018-01-16,,1.07205211726384,326.204018241042,feb,0.0501392757660167,0.0,0.0139275766016713,0.543175487465181,8,8,359
306,tws,boyd,2016-02-03,2021-12-30 12:05:00,448,0.68,29.0,8.0,2016-11-03,10.0,6.0,11/21/16,7061.19,7.0,7065.41118,6522.742094,,2,2016,F,3.86584531143053,feb,buai,2012-04-04,2.740588638,2016-02-15,9.812,1.4,14.0,40.0,2018-05-08,,0.92418285971021,362.723288779063,feb,0.0277777777777778,0.025,0.0194444444444444,0.319444444444444,2,1,360
307,tws,dubl,2016-02-03,2021-12-30 08:04:00,449,1.08,24.0,8.0,2016-11-03,10.0,6.0,11/21/16,11739.9,7.0,7396.207701,13103.9873,,2,2016,M,6.94866529774127,feb,dixi,2009-03-05,2.321697467,2016-02-15,10.869,4.5,14.0,40.0,2018-05-08,,1.11672095548317,485.505602605863,feb,0.0333333333333333,0.0111111111111111,0.0222222222222222,0.344444444444444,4,2,360
308,tws,sevi,2016-02-04,2021-12-30 11:46:00,451,0.58,32.0,8.0,2016-11-03,10.0,6.0,11/21/16,6199.54,7.0,7272.771273,5189.909629,,2,2016,F,2.85557837097878,feb,sava,2013-04-08,1.735797399,2016-02-15,8.675,7.5,14.0,40.0,2018-05-08,,0.837540716612378,290.626628664495,feb,0.0081967213114754,0.0081967213114754,0.0327868852459016,0.311475409836066,3,0,366
309,twn,petr,2016-02-05,2021-12-30 09:00:00,453,0.74,33.0,8.0,2016-11-03,10.0,6.0,11/21/16,30849.8,7.0,28365.41158,25043.13649,,2,2016,F,5.86995208761123,feb,park,2010-04-03,2.565366188,2016-02-15,16.069,3.4,15.0,40.0,2018-05-14,,0.812160694896851,522.0244082519,feb,0.0055555555555555,0.0027777777777777,0.0055555555555555,0.297222222222222,3,0,360
310,twn,pam,2016-02-05,2021-12-30 09:27:00,454,0.5,35.0,8.0,2016-11-03,10.0,6.0,11/21/16,23786.9,7.0,32369.52294,18206.23357,,2,2016,F,2.94045174537988,feb,park,2013-03-08,1.796030116,2016-02-15,9.873,14.5,19.0,40.0,2018-05-16,,0.765751512331317,302.410587249884,feb,0.0055555555555555,0.0027777777777777,0.0,0.316666666666667,2,1,360
311,tws,fris,2016-02-08,2021-12-30 11:42:00,456,0.98,34.0,8.0,2016-11-03,10.0,6.0,11/21/16,25674.2,7.0,17825.40068,20228.71569,,2,2016,M,6.9678302532512,feb,flet,2009-02-26,1.418206708,2016-02-15,17.469,4.2,19.0,40.0,2018-05-16,,0.788273615635179,550.814071661238,feb,0.0138888888888889,0.0,0.0,0.561111111111111,3,6,360
312,twn,amos,2016-02-09,2021-12-30 11:03:00,460,0.46,22.0,8.0,2016-11-03,10.0,6.0,11/21/16,5932.86,7.0,8775.557678,7224.232705,,2,2016,M,5.9958932238193,feb,ambe,2010-02-16,2.650239562,2016-02-15,9.804,2.8,19.0,40.0,2018-05-16,,1.21824104234528,477.745407166124,feb,0.0027777777777777,0.0,0.0,0.45,4,3,360
313,gn,mayh,2016-02-09,2021-12-30 11:59:00,465,0.38,24.0,8.0,2016-11-03,10.0,6.0,11/21/16,1913.81,7.0,3426.759925,2136.1802,,2,2016,F,5.92470910335387,feb,mixu,2010-03-14,2.214921287,2016-02-15,3.407,0.5,3.0,40.0,2018-01-16,,1.11672095548317,152.186731813246,feb,0.0055555555555555,0.0583333333333333,0.0888888888888889,0.383333333333333,6,3,360
314,tws,dame,2016-02-10,2021-12-30 12:24:00,469,0.68,28.0,8.0,2016-11-03,10.0,6.0,11/21/16,2927.98,7.0,2929.730347,2801.304907,,2,2016,F,4.10677618069815,feb,dixi,2012-01-07,1.869952088,2016-02-15,11.354,9.4,15.0,40.0,,,0.957189390414146,434.717133550489,feb,0.0194444444444444,0.0,0.0138888888888889,0.363888888888889,4,4,360
315,tws,boyd,2016-02-10,2021-12-30 11:00:00,470,0.84,35.0,8.0,2016-11-03,10.0,6.0,11/21/16,5212.36,7.0,4222.051959,3989.483438,,2,2016,F,3.86584531143053,feb,buai,2012-04-04,2.740588638,2016-02-15,12.545,7.1,19.0,40.0,2018-05-16,,0.765751512331317,384.254108887855,feb,0.0277777777777778,0.025,0.0194444444444444,0.319444444444444,2,1,360
316,gn,pira,2016-02-10,2021-12-30 08:20:00,472,0.58,24.0,8.0,2016-11-03,10.0,6.0,11/21/16,6093.98,7.0,7148.937289,6802.054234,,2,2016,M,5.05133470225873,feb,pinc,2011-01-27,1.35797399,2016-02-15,5.743,0.3,3.0,40.0,2018-01-16,,1.11672095548317,256.533137893594,feb,0.0833333333333333,0.0,0.0166666666666667,0.375,6,6,360
317,tws,peke,2016-02-15,2021-12-30 14:10:00,482,0.72,36.0,8.0,2016-11-03,10.0,6.0,11/21/16,2141.81,7.0,2024.029798,1593.78138,,2,2016,M,5.12799452429843,feb,pans,2010-12-30,2.814510609,2016-02-15,7.537,12.8,15.0,40.0,2018-05-14,,0.74448063698878,224.446022439377,feb,0.025,0.0222222222222222,0.0,0.391666666666667,0,6,360
318,gn,ting,2016-02-16,2021-12-30 09:14:00,487,0.66,32.0,9.0,2016-11-04,10.0,6.0,11/21/16,17625.3,7.0,18170.25569,14754.91959,,2,2016,M,5.07597535934292,feb,tang,2011-01-18,2.704996578,2016-02-15,23.271,11.7,3.0,40.0,2018-01-16,,0.837540716612378,779.616400651466,feb,0.0083333333333333,0.0416666666666667,0.0194444444444444,0.475,10,4,360
319,tws,blas,2016-02-16,2021-12-30 14:29:00,490,0.36,22.0,9.0,2016-11-04,10.0,6.0,11/21/16,1839.19,7.0,3476.102328,2239.516279,,2,2016,M,4.03559206023272,feb,blaz,2012-02-02,1.817932923,2016-02-15,3.353,14.1,15.0,40.0,,,1.21824104234528,163.390488599349,feb,0.0696378830083565,0.0250696378830084,0.0,0.33983286908078,2,3,359
320,twn,amos,2016-02-16,2021-12-30 15:14:00,492,0.56,32.0,9.0,2016-11-04,10.0,6.0,11/21/16,8550.54,7.0,10389.00541,7158.035899,,2,2016,M,5.9958932238193,feb,ambe,2010-02-16,2.650239562,2016-02-15,11.721,1.4,15.0,40.0,2018-05-14,,0.837540716612378,392.672589576547,feb,0.0027777777777777,0.0,0.0,0.45,4,3,360
321,twn,safi,2016-02-17,2021-12-30 11:30:00,494,0.38,22.0,9.0,2016-11-04,10.0,6.0,11/21/16,6119.85,7.0,10957.85722,7451.92378,,2,2016,F,2.97056810403833,feb,saph,2013-02-25,1.741273101,2016-02-15,4.742,6.3,15.0,40.0,2018-05-14,,1.21824104234528,231.075960912052,feb,0.0027777777777777,0.05,0.0611111111111111,0.355555555555556,1,0,360
322,gn,ropa,2016-02-17,2021-12-30 09:09:00,495,0.44,23.0,9.0,2016-11-04,10.0,6.0,11/21/16,2406.97,7.0,3722.086462,2803.452156,,2,2016,M,6.15468856947296,feb,robe,2009-12-20,3.529089665,2016-02-15,5.755,15.7,3.0,40.0,2018-01-16,,1.16527404050418,268.246084124062,feb,0.0501392757660167,0.0,0.0139275766016713,0.543175487465181,8,8,359
323,gn,spad,2016-02-18,2021-12-30 08:15:00,497,0.86,35.0,9.0,2016-11-04,10.0,6.0,11/21/16,31445.3,7.0,24878.58912,24067.88931,,2,2016,F,6.07529089664613,feb,spik,2010-01-18,2.258726899,2016-02-15,22.142,12.1,3.0,40.0,2018-01-16,,0.765751512331317,678.210799441601,feb,0.0,0.0416666666666667,0.0833333333333333,0.327777777777778,3,8,360
324,twn,ruki,2016-02-18,2021-12-30 12:20:00,498,0.42,27.0,9.0,2016-11-04,10.0,6.0,11/21/16,4807.08,7.0,7787.544042,4769.445528,,2,2016,M,4.98288843258042,feb,rave,2011-02-21,2.770704997,2016-02-15,3.634,17.8,15.0,40.0,2018-05-14,,0.992640849318374,144.290273856919,feb,0.05,0.0,0.0,0.325,1,3,360
325,twn,petr,2016-02-18,2021-12-30 12:05:00,499,0.4,33.0,9.0,2016-11-04,10.0,6.0,11/21/16,10275.5,7.0,17478.79258,8341.407366,,2,2016,F,5.86995208761123,feb,park,2010-04-03,2.565366188,2016-02-15,5.319,6.6,15.0,40.0,,,0.812160694896851,172.795309446254,feb,0.0055555555555555,0.0027777777777777,0.0055555555555555,0.297222222222222,3,0,360
326,gn,mole,2016-02-18,2021-12-30 08:40:00,500,0.94,36.0,9.0,2016-11-04,10.0,6.0,11/21/16,32231.4,7.0,23330.27042,23984.29607,,2,2016,F,2.83367556468172,feb,merl,2013-04-16,1.467488022,2016-02-15,23.963,1.3,3.0,40.0,2018-01-16,,0.74448063698878,713.599580166486,feb,0.0,0.0055555555555555,0.0416666666666667,0.330555555555556,1,2,360
327,twn,king,2016-02-18,2021-12-30 09:52:00,501,0.6,35.0,9.0,2016-11-04,10.0,6.0,11/21/16,2514.51,7.0,2851.481598,1924.578502,,2,2016,M,4.28747433264887,feb,kipp,2011-11-02,2.045174538,2016-02-15,7.607,0.7,15.0,40.0,,,0.765751512331317,233.002870172173,feb,0.0361111111111111,0.0083333333333333,0.0,0.394444444444444,0,0,360
328,gn,dean,2016-02-18,2021-12-30 11:20:00,502,0.82,32.0,9.0,2016-11-04,10.0,6.0,11/21/16,1644.04,7.0,1364.165255,1376.29873,,2,2016,M,5.1006160164271,feb,desd,2011-01-09,2.302532512,2016-02-15,15.945,6.8,6.0,40.0,2018-01-26,,0.837540716612378,534.183469055375,feb,0.0166666666666667,0.0111111111111111,0.0027777777777777,0.472222222222222,2,9,360
329,twn,onyx,2016-02-18,2021-12-30 10:40:00,503,0.44,29.0,9.0,2016-11-04,10.0,6.0,11/21/16,8005.98,7.0,12380.27469,7395.487553,,2,2016,M,3.01163586584531,feb,opal,2013-02-10,1.631759069,2016-02-15,8.919,3.1,15.0,40.0,,,0.92418285971021,329.711477030214,feb,0.0083565459610027,0.0083565459610027,0.0,0.426183844011142,0,0,359
330,twn,keny,2016-02-18,2021-12-30 09:35:00,505,0.56,31.0,9.0,2016-11-04,10.0,6.0,11/21/16,7982.35,7.0,9698.64796,6897.939483,,2,2016,M,6.02053388090349,feb,kayl,2010-02-07,2.453114305,2016-02-15,10.78,18.2,15.0,40.0,,,0.864558159083745,372.797478196911,feb,0.0166666666666667,0.0194444444444444,0.0194444444444444,0.444444444444444,0,1,360
331,twn,safi,2016-02-18,2021-12-30 14:22:00,506,0.42,27.0,9.0,2016-11-04,10.0,6.0,11/21/16,2534.07,7.0,4105.232642,2514.230849,,2,2016,F,2.97056810403833,feb,saph,2013-02-25,1.741273101,2016-02-15,5.6,17.3,15.0,40.0,2018-05-14,,0.992640849318374,222.351550247316,feb,0.0027777777777777,0.05,0.0611111111111111,0.355555555555556,1,0,360
332,gn,spor,2016-02-19,2021-12-30 09:40:00,507,0.68,28.0,9.0,2016-11-04,10.0,6.0,11/21/16,19593.3,7.0,19605.01288,18745.62239,,2,2016,F,2.4394250513347,feb,spik,2013-09-07,2.168377823,2016-02-15,,,,,,,0.957189390414146,,feb,0.0055555555555555,0.0361111111111111,0.0138888888888889,0.444444444444444,0,0,360
333,gn,pira,2016-02-19,2021-12-30 11:10:00,508,0.84,33.0,9.0,2016-11-04,10.0,6.0,11/21/16,17076.4,7.0,13832.01622,13862.2168,,2,2016,M,5.05133470225873,feb,pinc,2011-01-27,1.35797399,2016-02-15,9.199,4.2,6.0,40.0,2018-01-26,,0.812160694896851,298.842649294245,feb,0.0833333333333333,0.0,0.0166666666666667,0.375,6,6,360
334,gn,ropa,2016-02-19,2021-12-30 10:08:00,509,0.9,35.0,9.0,2016-11-04,10.0,6.0,11/21/16,18582.8,7.0,14048.73109,14223.07224,,2,2016,M,6.15468856947296,feb,robe,2009-12-20,3.529089665,2016-02-15,9.59,0.6,6.0,40.0,2018-01-26,,0.765751512331317,293.742280130293,feb,0.0501392757660167,0.0,0.0139275766016713,0.543175487465181,8,8,359
335,twn,king,2016-02-22,2021-12-30 08:55:00,511,0.52,31.0,9.0,2016-11-04,10.0,6.0,11/21/16,6766.1,7.0,8853.266245,5846.918306,,2,2016,M,4.28747433264887,feb,kipp,2011-11-02,2.045174538,2016-02-15,7.934,10.0,16.0,40.0,2018-05-14,,0.864558159083745,274.376177366817,feb,0.0361111111111111,0.0083333333333333,0.0,0.394444444444444,0,0,360
336,twn,davi,2016-02-22,2021-12-30 11:30:00,512,0.46,26.0,9.0,2016-11-04,10.0,6.0,11/21/16,23183.9,7.0,34292.33989,23887.10147,,2,2016,F,2.43394934976044,feb,didg,2013-09-09,1.349760438,2016-02-15,9.099,19.1,16.0,40.0,2018-05-14,,1.03081934352293,375.177008268604,feb,0.0,0.0305555555555556,0.0583333333333333,0.333333333333333,0,0,360
337,gn,dais,2016-02-22,2021-12-30 10:45:00,513,0.56,25.0,9.0,2016-11-04,10.0,6.0,11/21/16,25108.8,7.0,30507.48362,26905.20195,,2,2016,F,5.98220396988364,feb,daff,2010-02-21,1.98220397,2016-02-15,13.025,3.1,6.0,40.0,2018-01-26,,1.07205211726384,558.539153094463,feb,0.0,0.0222222222222222,0.0277777777777778,0.375,2,6,360
338,gn,stre,2016-02-22,2021-12-30 16:18:00,514,0.86,36.0,9.0,2016-11-04,10.0,6.0,11/21/16,11129.8,7.0,8805.567801,8281.998871,,2,2016,F,6.95140314852841,feb,sput,2009-03-04,3.06091718,2016-02-15,33.438,2.5,3.0,40.0,2018-01-16,,0.74448063698878,995.757741585233,feb,0.0027777777777777,0.0555555555555556,0.0722222222222222,0.419444444444444,3,2,360
339,gn,stre,2016-02-23,2021-12-30 11:05:00,516,0.56,27.0,9.0,2016-11-04,10.0,6.0,11/21/16,3705.73,7.0,4502.50499,3676.717961,,2,2016,F,6.95140314852841,feb,sput,2009-03-04,3.06091718,2016-02-15,5.472,5.1,3.0,40.0,2018-01-16,,0.992640849318374,217.269229098806,feb,0.0027777777777777,0.0555555555555556,0.0722222222222222,0.419444444444444,3,2,360
340,twn,davi,2016-02-24,2021-12-30 14:30:00,518,0.84,24.0,9.0,2016-11-04,10.0,6.0,11/21/16,4464.8,7.0,3616.522571,4983.575881,,2,2016,F,2.43394934976044,feb,didg,2013-09-09,1.349760438,2016-02-15,5.491,5.2,16.0,40.0,2018-05-14,,1.11672095548317,245.276590662324,feb,0.0,0.0305555555555556,0.0583333333333333,0.333333333333333,0,0,360
341,tws,bike,2016-03-10,2021-12-30 15:35:00,527,0.38,23.0,9.0,2016-11-04,10.0,6.0,11/21/16,1397.22,7.0,2501.783094,1627.373595,,3,2016,M,6.97056810403833,mar,bif,2009-03-26,2.264202601,2016-03-15,15.407,4.7,16.0,40.0,2018-05-14,,1.16527404050418,718.135085681915,mar,0.0733333333333333,0.0366666666666667,0.02,0.513333333333333,5,2,300
342,twn,amos,2016-03-11,2021-12-30 14:25:00,529,0.56,23.0,9.0,2016-11-04,10.0,6.0,11/21/16,1748.3,7.0,2124.204805,2036.284376,,3,2016,M,6.07529089664613,mar,ambe,2010-02-16,2.650239562,2016-03-15,6.407,5.0,16.0,40.0,2018-05-14,,1.16527404050418,298.636431100411,mar,0.0392857142857143,0.0357142857142857,0.0285714285714286,0.371428571428571,3,3,280
343,tws,boyd,2016-03-11,2021-12-30 12:45:00,530,0.34,24.0,9.0,2016-11-04,10.0,6.0,11/21/16,9013.69,7.0,18038.15677,10061.01238,,3,2016,F,3.94524298425736,mar,buai,2012-04-04,2.740588638,2016-03-15,5.589,17.1,16.0,40.0,2018-05-14,,1.11672095548317,249.654136807818,mar,0.0333333333333333,0.0066666666666666,0.04,0.416666666666667,2,8,300
344,gn,dais,2016-03-11,2021-12-30 16:28:00,535,1.5,26.0,9.0,2016-11-04,10.0,6.0,11/21/16,15608.7,7.0,7080.174,16082.13462,,3,2016,F,6.06160164271047,mar,daff,2010-02-21,1.98220397,2016-03-15,24.938,15.1,3.0,40.0,2018-01-16,,1.03081934352293,1028.26291155099,mar,0.0,0.02,0.05,0.383333333333333,0,3,300
345,gn,stre,2016-03-11,2021-12-30 15:22:00,536,1.42,33.0,9.0,2016-11-04,10.0,6.0,11/21/16,30238.4,7.0,14489.01692,24546.81646,,3,2016,F,7.03080082135524,mar,sput,2009-03-04,3.06091718,2016-03-15,23.428,0.7,6.0,40.0,2018-01-26,,0.812160694896851,761.092030401737,mar,0.0066666666666666,0.0366666666666667,0.0866666666666667,0.52,1,1,300
346,gn,mole,2016-03-11,2021-12-30 16:53:00,537,0.52,25.0,9.0,2016-11-04,10.0,6.0,11/21/16,10194.6,8.0,13339.36951,10923.96976,,3,2016,F,2.91307323750856,mar,merl,2013-04-16,1.467488022,2016-03-15,11.086,10.7,3.0,40.0,2018-01-16,,1.07205211726384,475.390790879479,mar,0.02,0.0166666666666667,0.0433333333333333,0.363333333333333,2,0,300
347,gn,stel,2016-03-12,2021-12-30 14:30:00,539,0.96,30.0,9.0,2016-11-04,10.0,6.0,11/21/16,11222.3,8.0,7953.881157,10020.99688,,3,2016,F,2.85557837097878,mar,sput,2013-05-07,2.223134839,2016-03-15,23.201,11.9,3.0,40.0,2018-01-16,,0.893376764386536,829.089372421281,mar,0.0866666666666667,0.02,0.01,0.36,0,3,300
348,twn,onyx,2016-03-14,2021-12-30 12:00:00,544,0.38,26.0,9.0,2016-11-04,10.0,6.0,11/21/16,39717.8,8.0,71116.44591,40922.49875,,3,2016,M,3.09103353867214,mar,opal,2013-02-10,1.631759069,2016-03-15,9.409,5.2,16.0,40.0,2018-05-14,,1.03081934352293,387.959168128289,mar,0.0033333333333333,0.0533333333333333,0.05,0.366666666666667,0,3,300
349,twn,allo,2016-03-14,2021-12-30 09:42:00,545,0.74,22.0,9.0,2016-11-04,10.0,6.0,11/21/16,5746.98,8.0,5284.165636,6997.893237,,3,2016,M,2.93223819301848,mar,ambe,2013-04-09,3.394934976,2016-03-15,6.587,17.8,16.0,40.0,2018-05-14,,1.21824104234528,320.982149837133,mar,0.226666666666667,0.0,0.0,0.353333333333333,2,1,300
350,twn,safi,2016-03-14,2021-12-30 11:20:00,546,0.38,24.0,9.0,2016-11-04,10.0,6.0,11/21/16,37736.4,8.0,67568.66316,42121.08333,,3,2016,F,3.04996577686516,mar,saph,2013-02-25,1.741273101,2016-03-15,,,,,,,1.11672095548317,,mar,0.0,0.0533333333333333,0.04,0.346666666666667,0,0,300
351,tws,fris,2016-03-14,2021-12-30 11:25:00,547,0.86,24.0,9.0,2016-11-04,10.0,6.0,11/21/16,28301.5,8.0,22391.30776,31589.91955,,3,2016,M,7.04722792607803,mar,flet,2009-02-26,1.418206708,2016-03-15,,,,,,,1.11672095548317,,mar,0.02,0.0333333333333333,0.02,0.573333333333333,2,1,300
352,tws,tatu,2016-03-14,2021-12-30 11:17:00,549,0.88,23.0,9.0,2016-11-04,10.0,6.0,11/21/16,24607.5,8.0,19026.25346,28660.90933,,3,2016,M,7.03901437371663,mar,twin,2009-03-01,2.945927447,2016-03-15,14.119,6.3,16.0,40.0,2018-05-14,,1.16527404050418,658.10016711514,mar,0.0267558528428094,0.0066889632107023,0.0,0.387959866220736,1,0,299
353,gn,dext,2016-03-14,2021-12-30 14:38:00,551,0.56,24.0,9.0,2016-11-04,10.0,6.0,11/21/16,4976.87,8.0,6046.954853,5555.144529,,3,2016,M,2.97604380561259,mar,dj,2013-03-24,1.80698152,2016-03-15,8.604,15.7,3.0,40.0,2018-01-16,,1.11672095548317,384.330684039088,mar,0.0833333333333333,0.04,0.0,0.316666666666667,6,1,300
354,gn,spad,2016-03-14,2021-12-30 14:22:00,552,0.62,27.0,9.0,2016-11-04,10.0,6.0,11/21/16,8582.8,8.0,9419.020876,8515.60554,,3,2016,F,6.15468856947296,mar,spik,2010-01-18,2.258726899,2016-03-15,9.117,14.5,3.0,40.0,2018-01-16,,0.992640849318374,361.996264929425,mar,0.0066445182724252,0.0132890365448505,0.0166112956810631,0.401993355481728,1,0,301
355,gn,renl,2016-03-15,2021-12-30 15:45:00,553,0.6,25.0,9.0,2016-11-04,10.0,6.0,11/21/16,4302.96,8.0,4879.603285,4610.814049,,3,2016,M,2.8829568788501,mar,robe,2013-04-27,1.834360027,2016-03-15,,,,,,,1.07205211726384,,mar,0.106666666666667,0.0166666666666667,0.03,0.323333333333333,0,3,300
356,gn,stre,2016-03-15,2021-12-30 14:49:00,554,0.72,26.0,9.0,2016-11-04,10.0,6.0,11/21/16,2457.27,8.0,2322.142348,2531.80258,,3,2016,F,7.03080082135524,mar,sput,2009-03-04,3.06091718,2016-03-15,7.123,3.9,3.0,40.0,2018-01-16,,1.03081934352293,293.701047356552,mar,0.0066666666666666,0.0366666666666667,0.0866666666666667,0.52,1,1,300
357,tws,tesl,2016-03-16,2021-12-30 08:25:00,556,0.66,24.0,9.0,2016-11-04,10.0,6.0,11/21/16,5443.87,8.0,5612.18872,6076.406386,,3,2016,F,3.03353867214237,mar,twin,2013-03-03,1.49486653,2016-03-15,5.074,0.6,16.0,40.0,2018-05-14,,1.11672095548317,226.649685124864,mar,0.0566666666666667,0.0366666666666667,0.0566666666666667,0.376666666666667,2,1,300
358,tws,brog,2016-03-16,2021-12-30 11:10:00,557,0.52,24.0,9.0,2016-11-04,10.0,6.0,11/21/16,5131.3,8.0,6714.172874,5727.518123,,3,2016,F,7.15947980835044,mar,bow,2009-01-16,2.516084873,2016-03-15,13.752,3.1,16.0,40.0,2018-05-14,,1.11672095548317,614.285863192182,mar,0.0233333333333333,0.03,0.103333333333333,0.483333333333333,0,2,300
359,tws,burn,2016-03-16,2021-12-30 08:50:00,558,0.66,26.0,10.0,2016-11-04,10.0,6.0,11/21/16,47296.5,8.0,48758.85791,48731.07176,,3,2016,F,7.04175222450376,mar,blaz,2009-02-28,2.247775496,2016-03-15,15.757,2.1,16.0,40.0,2018-05-14,,1.03081934352293,649.70481583563,mar,0.0166666666666667,0.0,0.0433333333333333,0.423333333333333,0,9,300
360,tws,sevi,2016-03-16,2021-12-30 10:05:00,559,0.58,28.0,10.0,2016-11-04,10.0,6.0,11/21/16,22186.2,8.0,26026.95652,21226.34408,,3,2016,F,2.93497604380561,mar,sava,2013-04-08,1.735797399,2016-03-15,21.226,5.7,16.0,40.0,2018-05-14,,0.957189390414146,812.692080037227,mar,0.0066889632107023,0.0234113712374582,0.0100334448160535,0.331103678929766,0,2,299
361,tws,dame,2016-03-16,2021-12-30 10:21:00,560,0.56,23.0,10.0,2016-11-04,10.0,6.0,11/21/16,13707.5,8.0,16654.7717,15965.4339,,3,2016,F,4.18617385352498,mar,dixi,2012-01-07,1.869952088,2016-03-15,23.791,2.1,16.0,40.0,2018-05-14,,1.16527404050418,1108.9213879054,mar,0.0133333333333333,0.0,0.04,0.536666666666667,2,2,300
362,gn,pira,2016-03-16,2021-12-30 09:10:00,561,0.62,27.0,10.0,2016-11-04,10.0,6.0,11/21/16,10367.0,8.0,11377.05521,10285.8371,,3,2016,M,5.13073237508556,mar,pinc,2011-01-27,1.35797399,2016-03-15,9.076,17.7,3.0,40.0,2018-01-16,,0.992640849318374,360.368333936542,mar,0.143333333333333,0.0133333333333333,0.0033333333333333,0.363333333333333,0,1,300
363,gn,dean,2016-03-16,2021-12-30 09:16:00,562,0.48,31.0,10.0,2016-11-04,10.0,6.0,11/21/16,41895.3,8.0,59387.15544,36203.78009,,3,2016,M,5.18001368925394,mar,desd,2011-01-09,2.302532512,2016-03-15,11.393,18.6,3.0,40.0,2018-01-16,,0.864558159083745,393.996444257644,mar,0.0433333333333333,0.0166666666666667,0.0066666666666666,0.36,1,4,300
364,gn,dais,2016-03-16,2021-12-30 15:33:00,563,0.68,27.0,10.0,2016-11-04,10.0,6.0,11/21/16,3188.2,8.0,3190.105906,3163.239687,,3,2016,F,6.06160164271047,mar,daff,2010-02-21,1.98220397,2016-03-15,8.568,3.3,3.0,40.0,2018-01-16,,0.992640849318374,340.197871878393,mar,0.0,0.02,0.05,0.383333333333333,0,3,300
365,gn,spor,2016-03-16,2021-12-30 16:45:00,564,0.54,23.0,10.0,2016-11-04,10.0,6.0,11/21/16,2696.26,8.0,3397.320075,3140.394733,,3,2016,F,2.51882272416153,mar,spik,2013-09-07,2.168377823,2016-03-15,9.59,13.1,3.0,40.0,2018-01-16,,1.16527404050418,446.999121937403,mar,0.02,0.0166666666666667,0.02,0.3,0,0,300
366,gn,ting,2016-03-16,2021-12-30 14:40:00,565,0.8,30.0,10.0,2016-11-04,10.0,6.0,11/21/16,3888.07,8.0,3306.835145,3471.867385,,3,2016,M,5.15537303216975,mar,tang,2011-01-18,2.704996578,2016-03-15,8.073,10.4,3.0,40.0,2018-01-16,,0.893376764386536,288.4892247557,mar,0.0635451505016722,0.0,0.0,0.270903010033445,0,1,299
367,gn,stre,2016-03-16,2021-12-30 16:29:00,567,0.76,31.0,10.0,2016-11-04,10.0,6.0,11/21/16,4369.4,8.0,3911.800235,3775.812484,,3,2016,F,7.03080082135524,mar,sput,2009-03-04,3.06091718,2016-03-15,9.36,1.8,3.0,40.0,2018-01-16,,0.864558159083745,323.690574760954,mar,0.0066666666666666,0.0366666666666667,0.0866666666666667,0.52,1,1,300
368,gn,stel,2016-03-16,2021-12-30 14:38:00,568,0.54,24.0,10.0,2016-11-04,10.0,6.0,11/21/16,2483.48,8.0,3129.214712,2772.041531,,3,2016,F,2.85557837097878,mar,sput,2013-05-07,2.223134839,2016-03-15,9.841,14.2,3.0,40.0,2018-01-16,,1.11672095548317,439.586036916395,mar,0.0866666666666667,0.02,0.01,0.36,0,3,300
