,group,subj,date,time,sample_number,Cr,SG,Cr.plate.number,Cr.date,cp_dilution,cp_run,cp_assay_date,pg.ml_ucp,cp_batch,stdcr_CP,stdsg_CP,cp_note,month,year,sex,age,month.name,mum,bday,weaning,mid,neo_value,CV,neo_plate_number,neo_dilution,neo_date_assayed,neo_note,SG_corr_fac,neo_sg,month_name,pl,gmd,gm,r,n_agg_g,n_agg_r,n_obs
28,tws,dame,2015-10-01,2021-12-30 11:24:00,113,0.41,37.0,11.0,2016-11-04,20.0,1.0,11/8/16,5251.89,1.0,8715.658816,3802.456065,,10,2015,F,3.7700205338809,oct,dixi,2012-01-07,1.869952088,2015-10-15,19.655,4.8,8.0,40.0,2018-04-25,,0.724359538691786,569.491469319482,oct,0.0,0.053125,0.034375,0.21875,0,0,320
29,gn,ropa,2015-10-01,2021-12-30 14:52:00,115,0.6,40.0,11.0,2016-11-04,20.0,1.0,11/8/16,6681.1,1.0,7576.439824,4474.435874,,10,2015,M,5.81793292265572,oct,robe,2009-12-20,3.529089665,2015-10-15,26.695,6.7,1.0,40.0,2018-01-11,,0.670032573289902,715.460781758958,oct,0.015625,0.03125,0.0,0.390625,3,1,320
30,gn,mayh,2015-10-01,2021-12-30 15:06:00,116,0.56,40.0,11.0,2016-11-04,20.0,1.0,11/8/16,13922.6,1.0,16916.1207,9324.180285,,10,2015,F,5.58795345653662,oct,mixu,2010-03-14,2.214921287,2015-10-15,13.142,1.5,1.0,40.0,2018-01-11,,0.670032573289902,352.222723127036,oct,0.0,0.021875,0.05625,0.25625,2,3,320
31,gn,pira,2015-10-01,2021-12-30 14:51:00,117,0.88,44.0,3.0,2016-10-28,20.0,1.0,11/8/16,6695.01,1.0,5176.509487,4076.137833,,10,2015,M,4.71457905544148,oct,pinc,2011-01-27,1.35797399,2015-10-15,17.415,11.7,5.0,40.0,2018-01-25,,0.609120521172638,424.31335504886,oct,0.053125,0.0375,0.04375,0.365625,4,0,320
32,tws,atom,2015-10-05,2021-12-30 14:55:00,124,1.59,52.0,3.0,2016-10-28,20.0,1.0,11/8/16,26280.0,1.0,11245.9641,13538.55535,,10,2015,F,6.64476386036961,oct,arte,2009-02-21,2.795345654,2015-10-15,50.393,4.7,9.0,40.0,2018-04-26,,0.515409671761463,1038.92158356302,oct,0.0,0.05625,0.04375,0.384375,0,3,320
33,tws,sevi,2015-10-05,2021-12-30 15:51:00,125,0.8,38.0,3.0,2016-10-28,20.0,1.0,11/8/16,17775.6,1.0,15118.29232,12531.15148,,10,2015,F,2.51882272416153,oct,sava,2013-04-08,1.735797399,2015-10-15,23.987,13.9,9.0,40.0,2018-04-26,,0.705297445568318,676.71879307389,oct,0.0,0.003125,0.025,0.315625,0,0,320
34,twn,safi,2015-10-06,2021-12-30 12:13:00,128,1.37,37.0,3.0,2016-10-28,20.0,1.0,11/8/16,31491.5,1.0,15640.16162,22800.3719,,10,2015,F,2.63381245722108,oct,saph,2013-02-25,1.741273101,2015-10-15,26.998,7.4,9.0,40.0,2018-04-26,,0.724359538691786,782.250353024034,oct,0.0,0.07,0.07,0.226666666666667,0,0,300
35,gn,ropa,2015-10-06,2021-12-30 09:56:00,131,1.06,50.0,3.0,2016-10-28,20.0,1.0,11/8/16,21324.3,1.0,13687.91737,11424.97049,,10,2015,M,5.81793292265572,oct,robe,2009-12-20,3.529089665,2015-10-15,,,,,,,0.536026058631922,,oct,0.015625,0.03125,0.0,0.390625,3,1,320
36,gn,mend,2015-10-07,2021-12-30 14:36:00,141,1.11,38.0,3.0,2016-10-28,20.0,1.0,11/8/16,19141.5,1.0,11733.33432,13494.0613,,10,2015,F,5.69472963723477,oct,merl,2010-02-03,2.236824093,2015-10-15,5.805,8.0,1.0,40.0,2018-01-11,,0.705297445568318,163.770066860963,oct,0.0,0.059375,0.065625,0.278125,0,0,320
37,gn,ting,2015-10-07,2021-12-30 15:42:00,143,0.95,43.0,3.0,2016-10-28,20.0,1.0,11/8/16,29508.2,1.0,21134.28548,18383.34638,,10,2015,M,4.73921971252567,oct,tang,2011-01-18,2.704996578,2015-10-15,12.291,11.0,5.0,40.0,2018-01-25,,0.623286114688281,306.432385425347,oct,0.021875,0.021875,0.01875,0.41875,2,4,320
38,gn,dais,2015-10-07,2021-12-30 16:38:00,144,0.88,37.0,3.0,2016-10-28,20.0,1.0,11/8/16,2769.48,1.0,2141.332051,2005.149769,,10,2015,F,5.64544832306639,oct,daff,2010-02-21,1.98220397,2015-10-15,6.891,11.2,1.0,40.0,2018-01-11,,0.724359538691786,199.662463245004,oct,0.0,0.01875,0.03125,0.29375,1,4,320
39,tws,atom,2015-10-08,2021-12-30 11:40:00,151,1.03,45.0,3.0,2016-10-28,20.0,1.0,11/8/16,24617.5,1.0,16262.04574,14654.86224,,10,2015,F,6.64476386036961,oct,arte,2009-02-21,2.795345654,2015-10-15,34.5,2.1,9.0,40.0,2018-04-26,,0.595584509591024,821.906623235614,oct,0.0,0.05625,0.04375,0.384375,0,3,320
40,gn,stre,2015-10-09,2021-12-30 14:30:00,161,1.12,43.0,3.0,2016-10-28,20.0,1.0,11/8/16,19075.4,1.0,11588.41627,11883.80469,,10,2015,F,6.61464750171116,oct,sput,2009-03-04,3.06091718,2015-10-15,21.509,11.2,5.0,40.0,2018-01-25,,0.623286114688281,536.25044163321,oct,0.0,0.01875,0.0,0.30625,0,0,320
41,tws,sevi,2015-10-12,2021-12-30 14:48:00,162,0.8,49.0,3.0,2016-10-28,20.0,1.0,11/8/16,16867.4,1.0,14345.86083,9221.517007,,10,2015,F,2.51882272416153,oct,sava,2013-04-08,1.735797399,2015-10-15,70.06,14.5,9.0,40.0,2018-04-26,,0.546965365950941,1532.81574154092,oct,0.0,0.003125,0.025,0.315625,0,0,320
42,tws,brog,2015-10-13,2021-12-30 12:07:00,165,1.49,48.0,3.0,2016-10-28,20.0,1.0,11/8/16,3259.89,1.0,1488.624402,1819.332241,,10,2015,F,6.74332648870637,oct,bow,2009-01-16,2.516084873,2015-10-15,23.423,0.2,9.0,40.0,2018-04-26,,0.558360477741585,523.139098805646,oct,0.0,0.0,0.08,0.29,1,0,300
43,tws,sevi,2015-10-15,2021-12-30 10:55:00,173,0.82,45.0,4.0,2016-11-01,20.0,1.0,11/8/16,6047.76,1.0,5018.213706,3600.247371,,10,2015,F,2.51882272416153,oct,sava,2013-04-08,1.735797399,2015-10-15,49.701,10.8,9.0,40.0,2018-04-26,,0.595584509591024,1184.04582844734,oct,0.0,0.003125,0.025,0.315625,0,0,320
44,tws,brog,2015-10-15,2021-12-30 10:46:00,175,1.52,42.0,4.0,2016-11-01,20.0,1.0,11/8/16,15572.6,1.0,6970.854161,9932.581688,,10,2015,F,6.74332648870637,oct,bow,2009-01-16,2.516084873,2015-10-15,42.646,13.2,10.0,40.0,2018-04-27,,0.638126260276097,1088.54129982938,oct,0.0,0.0,0.08,0.29,1,0,300
45,tws,boyd,2015-10-15,2021-12-30 14:38:00,177,0.92,42.0,4.0,2016-11-01,20.0,1.0,11/8/16,9537.7,1.0,7053.818602,6083.37621,,10,2015,F,3.52908966461328,oct,buai,2012-04-04,2.740588638,2015-10-15,10.963,5.2,10.0,40.0,2018-04-27,,0.638126260276097,279.831127656274,oct,0.0,0.046875,0.01875,0.278125,2,6,320
