"group","subj","date","age","year","month","time","sample_number","stdsg_CP","neo_sg","Cr","SG","Cr.plate.number","Cr.date","cp_dilution","cp_run","cp_assay_date","pg.ml_ucp","cp_batch","stdcr_CP","cp_note","sex","month.name","mum","bday","weaning","mid","neo_value","CV","neo_plate_number","neo_dilution","neo_date_assayed","neo_note","SG_corr_fac","month_name","pl","gmd","gm","r","n_agg_g","n_agg_r","n_obs"
"tws","atom",2015-10-05,6.64476386036961,2015,10,2022-02-22 14:55:00,124,13538.55535,1038.42986241401,1.59,52,3,2016-10-28,20,1,"11/8/16",26280,1,11245.9641,"","F","oct","arte",2009-02-21,2.795345654,2015-10-15,50.393,4.7,9,40,2018-04-26,"",0.515165728580363,"oct",0,0.05625,0.04375,0.384375,0,3,320
"tws","sevi",2015-10-05,2.51882272416153,2015,10,2022-02-22 15:51:00,125,12531.15148,676.398502353445,0.8,38,3,2016-10-28,20,1,"11/8/16",17775.6,1,15118.29232,"","F","oct","sava",2013-04-08,1.735797399,2015-10-15,23.987,13.9,9,40,2018-04-26,"",0.704963628583654,"oct",0,0.003125,0.025,0.315625,0,0,320
"twn","safi",2015-10-06,2.63381245722108,2015,10,2022-02-22 12:13:00,128,22800.3719,781.880114260602,1.37,37,3,2016-10-28,20,1,"11/8/16",31491.5,1,15640.16162,"","F","oct","saph",2013-02-25,1.741273101,2015-10-15,26.998,7.4,9,40,2018-04-26,"",0.724016699626456,"oct",0,0.07,0.07,0.226666666666667,0,0,300
"gn","ropa",2015-10-06,5.81793292265572,2015,10,2022-02-22 09:56:00,131,11424.97049,NA,1.06,50,3,2016-10-28,20,1,"11/8/16",21324.3,1,13687.91737,"","M","oct","robe",2009-12-20,3.529089665,2015-10-15,NA,NA,NA,NA,NA,NA,0.535772357723577,"oct",0.015625,0.03125,0,0.390625,3,1,320
"gn","mend",2015-10-07,5.69472963723477,2015,10,2022-02-22 14:36:00,141,13494.0613,163.692554557125,1.11,38,3,2016-10-28,20,1,"11/8/16",19141.5,1,11733.33432,"","F","oct","merl",2010-02-03,2.236824093,2015-10-15,5.805,8,1,40,2018-01-11,"",0.704963628583654,"oct",0,0.059375,0.065625,0.278125,0,0,320
"gn","ting",2015-10-07,4.73921971252567,2015,10,2022-02-22 15:42:00,143,18383.34638,306.287351106069,0.95,43,3,2016-10-28,20,1,"11/8/16",29508.2,1,21134.28548,"","M","oct","tang",2011-01-18,2.704996578,2015-10-15,12.291,11,5,40,2018-01-25,"",0.622991113632067,"oct",0.021875,0.021875,0.01875,0.41875,2,4,320
"gn","dais",2015-10-07,5.64544832306639,2015,10,2022-02-22 16:38:00,144,2005.149769,199.567963085036,0.88,37,3,2016-10-28,20,1,"11/8/16",2769.48,1,2141.332051,"","F","oct","daff",2010-02-21,1.98220397,2015-10-15,6.891,11.2,1,40,2018-01-11,"",0.724016699626456,"oct",0,0.01875,0.03125,0.29375,1,4,320
"tws","atom",2015-10-08,6.64476386036961,2015,10,2022-02-22 11:40:00,151,14654.86224,821.517615176152,1.03,45,3,2016-10-28,20,1,"11/8/16",24617.5,1,16262.04574,"","F","oct","arte",2009-02-21,2.795345654,2015-10-15,34.5,2.1,9,40,2018-04-26,"",0.595302619692864,"oct",0,0.05625,0.04375,0.384375,0,3,320
"gn","stre",2015-10-09,6.61464750171116,2015,10,2022-02-22 14:30:00,161,11883.80469,535.996634524485,1.12,43,3,2016-10-28,20,1,"11/8/16",19075.4,1,11588.41627,"","F","oct","sput",2009-03-04,3.06091718,2015-10-15,21.509,11.2,5,40,2018-01-25,"",0.622991113632067,"oct",0,0.01875,0,0.30625,0,0,320
"tws","sevi",2015-10-12,2.51882272416153,2015,10,2022-02-22 14:48:00,162,9221.517007,1532.09026049444,0.8,49,3,2016-10-28,20,1,"11/8/16",16867.4,1,14345.86083,"","F","oct","sava",2013-04-08,1.735797399,2015-10-15,70.06,14.5,9,40,2018-04-26,"",0.546706487473038,"oct",0,0.003125,0.025,0.315625,0,0,320
