"subj","month","year","month_name","pl","gmd","gm","r","f","m","sl","n_agg_g","n_agg_r","n_obs","mrank","group","fai","fai_cat","avg_rain"
"kabu",2,2016,"feb",0,0.0166666666666667,0.00555555555555556,0.338888888888889,0.391666666666667,0.141666666666667,0,0,5,360,0.455,"twn",572666.5375,"low",1.33448275862069
"kabu",3,2016,"mar",0.02,0.0466666666666667,0.00666666666666667,0.473333333333333,0.183333333333333,0.196666666666667,0,0,1,300,0.455,"twn",106302595.085417,"med",2.5
"keny",8,2015,"aug",0.065,0,0,0.315,0.385,0.13,0,1,1,200,0.455,"twn",521089.197916667,"low",8.24193548387097
"keny",9,2015,"sep",0.0366666666666667,0.0233333333333333,0.02,0.313333333333333,0.383333333333333,0.123333333333333,0,1,2,300,0.455,"twn",6504451.17291667,"low",7.55
"keny",10,2015,"oct",0.0866666666666667,0,0,0.26,0.316666666666667,0.216666666666667,0,0,1,300,0.455,"twn",5597218.68541667,"low",7.49032258064516
"keny",11,2015,"nov",0,0.01,0.01,0.386666666666667,0.27,0.193333333333333,0,0,4,300,0.455,"twn",119557042.557833,"med",9.96
"keny",12,2015,"dec",0.0132890365448505,0.0332225913621262,0.00664451827242525,0.425249169435216,0.285714285714286,0.159468438538206,0,0,1,301,0.455,"twn",188108038.364583,"hi",5.9
"keny",1,2016,"jan",0.0730897009966777,0,0,0.348837209302326,0.348837209302326,0.159468438538206,0,0,0,301,0.455,"twn",187602350.308333,"hi",2.85483870967742
"keny",2,2016,"feb",0.0166666666666667,0.0194444444444444,0.0194444444444444,0.444444444444444,0.294444444444444,0.125,0,0,1,360,0.455,"twn",572666.5375,"low",1.33448275862069
"keny",3,2016,"mar",0.0733333333333333,0.0266666666666667,0.0166666666666667,0.37,0.256666666666667,0.18,0,6,4,300,0.455,"twn",106302595.085417,"med",2.5
"king",8,2015,"aug",0,0.0222222222222222,0.0166666666666667,0.355555555555556,0.272222222222222,0.216666666666667,0,1,0,180,0.364,"twn",521089.197916667,"low",8.24193548387097
"king",9,2015,"sep",0.00333333333333333,0.0333333333333333,0.0166666666666667,0.353333333333333,0.323333333333333,0.16,0,1,0,300,0.364,"twn",6504451.17291667,"low",7.55
"king",10,2015,"oct",0.25625,0,0.0125,0.296875,0.16875,0.196875,0,0,1,320,0.364,"twn",5597218.68541667,"low",7.49032258064516
"king",11,2015,"nov",0.1,0,0,0.39,0.23,0.163333333333333,0,0,2,300,0.364,"twn",119557042.557833,"med",9.96
