"subj","month","year","month_name","pl","gmd","gm","r","f","m","sl","n_agg_g","n_agg_r","n_obs","mrank","group","fai","fai_cat","avg_rain"
"boyd",3,2016,"mar",0.0333333333333333,0.00666666666666667,0.04,0.416666666666667,0.19,0.21,0,2,4,300,0.217,"tws",108977575.177778,"med",2.5
"brav",8,2015,"aug",0,0.0444444444444444,0.0111111111111111,0.577777777777778,0.116666666666667,0.177777777777778,0,0,2,180,0.826,"tws",7755239.42916667,"low",8.24193548387097
"brav",9,2015,"sep",0.01,0.0133333333333333,0.01,0.303333333333333,0.356666666666667,0.21,0,0,2,300,0.826,"tws",13291529.0777778,"low",7.55
"brav",10,2015,"oct",0.009375,0.021875,0.0125,0.3125,0.31875,0.2125,0,1,0,320,0.826,"tws",8685715.30416667,"low",7.49032258064516
"brav",11,2015,"nov",0.0166666666666667,0.00666666666666667,0,0.33,0.32,0.21,0,0,0,300,0.826,"tws",131187483.281444,"med",9.96
"brav",12,2015,"dec",0.079734219269103,0.00332225913621262,0.00332225913621262,0.352159468438538,0.3421926910299,0.146179401993355,0,0,0,301,0.826,"tws",237582652.334722,"hi",5.9
"brav",1,2016,"jan",0.12,0.0133333333333333,0.00333333333333333,0.42,0.153333333333333,0.183333333333333,0.0133333333333333,0,0,300,0.826,"tws",238110609.245833,"hi",2.85483870967742
"brav",2,2016,"feb",0.0526315789473684,0.00263157894736842,0,0.386842105263158,0.278947368421053,0.176315789473684,0.0157894736842105,0,2,380,0.826,"tws",3108847.49027778,"low",1.33448275862069
"brav",3,2016,"mar",0.0866666666666667,0.00333333333333333,0,0.336666666666667,0.216666666666667,0.23,0,3,0,300,0.826,"tws",108977575.177778,"med",2.5
"brog",8,2015,"aug",0,0,0.05,0.505,0.135,0.205,0,0,2,200,0.826,"tws",7755239.42916667,"low",8.24193548387097
"brog",9,2015,"sep",0,0.00333333333333333,0.0166666666666667,0.423333333333333,0.263333333333333,0.21,0,2,0,300,0.826,"tws",13291529.0777778,"low",7.55
"brog",10,2015,"oct",0,0,0.08,0.29,0.336666666666667,0.18,0,1,0,300,0.826,"tws",8685715.30416667,"low",7.49032258064516
"brog",11,2015,"nov",0,0.00668896321070234,0.0568561872909699,0.481605351170569,0.234113712374582,0.147157190635452,0,1,0,299,0.826,"tws",131187483.281444,"med",9.96
"brog",12,2015,"dec",0.0233333333333333,0.00333333333333333,0.06,0.376666666666667,0.24,0.216666666666667,0,2,0,300,0.826,"tws",237582652.334722,"hi",5.9
"brog",1,2016,"jan",0.0366666666666667,0.00666666666666667,0.02,0.373333333333333,0.263333333333333,0.206666666666667,0,1,0,300,0.826,"tws",238110609.245833,"hi",2.85483870967742
"brog",2,2016,"feb",0,0,0.0166666666666667,0.3,0.397222222222222,0.15,0,1,1,360,0.826,"tws",3108847.49027778,"low",1.33448275862069
"brog",3,2016,"mar",0.0233333333333333,0.03,0.103333333333333,0.483333333333333,0.126666666666667,0.143333333333333,0,0,1,300,0.826,"tws",108977575.177778,"med",2.5
"burn",8,2015,"aug",0,0,0.05,0.327777777777778,0.355555555555556,0.2,0,0,1,180,0.13,"tws",7755239.42916667,"low",8.24193548387097
"burn",9,2015,"sep",0,0,0.02,0.3,0.37,0.213333333333333,0,2,2,300,0.13,"tws",13291529.0777778,"low",7.55
"burn",10,2015,"oct",0,0.0125,0.040625,0.28125,0.3625,0.209375,0,0,1,320,0.13,"tws",8685715.30416667,"low",7.49032258064516
"burn",11,2015,"nov",0,0,0.0166666666666667,0.336666666666667,0.373333333333333,0.15,0,0,3,300,0.13,"tws",131187483.281444,"med",9.96
"burn",12,2015,"dec",0,0.00666666666666667,0.0333333333333333,0.45,0.183333333333333,0.236666666666667,0,0,0,300,0.13,"tws",237582652.334722,"hi",5.9
"burn",1,2016,"jan",0.00333333333333333,0.0633333333333333,0.123333333333333,0.33,0.316666666666667,0.11,0,1,2,300,0.13,"tws",238110609.245833,"hi",2.85483870967742
"burn",2,2016,"feb",0.00833333333333333,0.0388888888888889,0.0666666666666667,0.283333333333333,0.388888888888889,0.133333333333333,0,0,3,360,0.13,"tws",3108847.49027778,"low",1.33448275862069
"burn",3,2016,"mar",0.0166666666666667,0,0.0433333333333333,0.423333333333333,0.213333333333333,0.21,0,0,6,300,0.13,"tws",108977575.177778,"med",2.5
"dais",8,2015,"aug",0,0,0,0.355555555555556,0.311111111111111,0.216666666666667,0,0,4,180,0,"gn",44096.4490384615,"low",8.24193548387097
