group,subj,date,age,year,month,time,sample_number,stdsg_CP,neo_sg,sex,Cr,SG,month.name,mum,bday,weaning,mid,neo_value,neo_CV,neo_plate_number,neo_dilution,neo_date_assayed,neo_note,SG_corr_fac,Cr.plate.number,Cr.date,cp_dilution,cp_run,cp_assay_date,pg.ml_ucp,cp_batch,stdcr_CP,cp_note,cr_resid
gn,stre,2015-09-03,6.532511978097194,2015,9,2022-03-05T18:06:00Z,53,7510.929651,410.33859397417507,F,0.66,17,sep,sput,2009-03-04,3.06091718,2015-09-15,6.51,3.3,4,40,2018-01-25,,1.5758010521281685,2,2016-10-27,5,5,11/21/16,4766.42,9,4913.79268,,0.22805743922636906
twn,keny,2015-09-03,5.601642710472279,2015,9,2022-03-05T17:24:00Z,54,2766.496287,428.68932249322495,M,0.33,15,sep,kayl,2010-02-07,2.453114305,2015-09-15,6.001,5.5,7,40,2018-04-17,,1.7859078590785908,2,2016-10-27,5,5,11/21/16,1549.07,9,3193.931222,,-0.053444433208779035
twn,amos,2015-09-04,5.577002053388091,2015,9,2022-03-05T20:49:00Z,55,2517.405796,848.8221619993978,M,0.64,27,sep,ambe,2010-02-16,2.650239562,2015-09-15,21.388,3.1,7,40,2018-04-17,,0.9921710328214394,2,2016-10-27,10,3,11/16/16,2537.27,4,2697.460954,,-0.03946072851012973
gn,dean,2015-09-04,4.681724845995893,2015,9,2022-03-05T17:09:00Z,56,NA,NA,M,0.21,9,sep,desd,2011-01-09,2.302532512,2015-09-15,NA,NA,NA,NA,NA,NA,2.976513098464318,2,2016-10-27,2,8,11/23/16,NA,12,NA,run neat?,-0.029961062479119414
tws,burn,2015-09-04,6.543463381245722,2015,9,2022-03-05T19:48:00Z,57,2968.924284,297.23718628490633,F,0.54,23,sep,blaz,2009-02-28,2.247775496,2015-09-15,6.38,7.2,7,40,2018-04-17,,1.1647225167903854,2,2016-10-27,10,3,11/16/16,2549.04,4,3211.821102,,-0.03944795543308224
gn,dean,2015-09-07,4.681724845995893,2015,9,2022-03-05T18:42:00Z,58,1511.237463,259.4031165311653,M,0.22,12,sep,desd,2011-01-09,2.302532512,2015-09-15,5.81,3.5,6,20,2018-01-26,,2.2323848238482387,2,2016-10-27,5,7,11/23/16,676.961,10,2093.675761,,-0.09132568310053127
tws,atom,2015-09-07,6.562628336755647,2015,9,2022-03-05T22:06:00Z,59,30766.31999,1370.948285613291,F,1.6,46,sep,arte,2009-02-21,2.795345654,2015-09-15,58.853,10.4,7,40,2018-04-17,,0.5823612583951927,2,2016-10-27,20,1,11/8/16,52830.3,1,22466.29983,,0.42717001127682225
gn,ropa,2015-09-07,5.735797399041752,2015,9,2022-03-05T21:40:00Z,60,3289.057797,348.609214092141,M,0.51,33,sep,robe,2009-12-20,3.529089665,2015-09-15,10.736,10.8,1,40,2018-01-11,,0.8117762995811777,2,2016-10-27,10,3,11/16/16,4051.68,4,5405.46946,,-0.3219936530818208
twn,safi,2015-09-07,2.5516769336071183,2015,9,2022-03-05T20:00:00Z,61,3722.156689,111.63547671840355,F,0.34,11,sep,saph,2013-02-25,1.741273101,2015-09-15,1.146,11.7,8,40,2018-04-25,,2.435328898743533,2,2016-10-27,5,7,11/23/16,1528.4,10,3058.627355,,0.05254631593847675
twn,amos,2015-09-07,5.577002053388091,2015,9,2022-03-05T19:40:00Z,62,2842.822229,NA,M,0.39,19,sep,ambe,2010-02-16,2.650239562,2015-09-15,NA,NA,NA,NA,NA,NA,1.4099272571673085,2,2016-10-27,5,7,11/23/16,2016.29,10,3517.68418,,-0.09077585699929869
gn,renl,2015-09-07,2.3846680355920604,2015,9,2022-03-05T22:05:00Z,63,2251.99052,342.3799674796748,M,0.46,25,sep,robe,2013-04-27,1.834360027,2015-09-15,7.988,7.9,1,40,2018-01-11,,1.0715447154471545,2,2016-10-27,10,3,11/16/16,2101.63,4,3108.614611,,-0.16928675764119808
twn,pam,2015-09-07,2.521560574948665,2015,9,2022-03-05T17:47:00Z,64,10614.92681,187.83548541367767,F,0.31,17,sep,park,2013-03-08,1.796030116,2015-09-15,2.98,7.8,8,40,2018-04-25,,1.5758010521281685,2,2016-10-27,5,7,11/23/16,6736.21,10,14785.0358,,-0.12194256077363096
twn,petr,2015-09-07,5.451060917180014,2015,9,2022-03-05T19:30:00Z,65,7535.069968,780.3767923133778,F,0.84,33,sep,park,2010-04-03,2.565366188,2015-09-15,24.033,14.3,8,40,2018-04-25,,0.8117762995811777,2,2016-10-27,10,3,11/16/16,9282.2,4,7518.653871,,0.008006346918179159
gn,mend,2015-09-08,5.6125941136208075,2015,9,2022-03-05T17:42:00Z,66,1344.601098,NA,F,0.15,9,sep,merl,2010-02-03,2.236824093,2015-09-15,NA,NA,NA,NA,NA,NA,2.976513098464318,2,2016-10-27,2,8,11/23/16,451.737,12,2049.09862,,-0.08996106247911935
gn,renl,2015-09-08,2.3846680355920604,2015,9,2022-03-05T18:44:00Z,67,1923.865359,333.57652880876634,M,0.31,23,sep,robe,2013-04-27,1.834360027,2015-09-15,7.16,4.2,1,40,2018-01-11,,1.1647225167903854,2,2016-10-27,10,3,11/16/16,1651.78,4,3625.42534,,-0.2694479554330823
gn,ropa,2015-09-08,5.735797399041752,2015,9,2022-03-05T20:11:00Z,68,2641.04754,485.60714591356435,M,0.8,38,sep,robe,2009-12-20,3.529089665,2015-09-15,17.221,5.8,1,40,2018-01-11,,0.7049636285836542,2,2016-10-27,20,1,11/8/16,3746.36,1,3186.309638,,-0.1614087081013397
twn,safi,2015-09-09,2.5516769336071183,2015,9,2022-03-05T17:13:00Z,69,2631.687033,242.32218350754934,F,0.18,7,sep,saph,2013-02-25,1.741273101,2015-09-15,1.583,10.8,8,40,2018-04-25,,3.826945412311266,2,2016-10-27,2,8,11/23/16,687.673,12,2599.428788,,-0.012803609557531398
gn,mole,2015-09-09,2.414784394250513,2015,9,2022-03-05T19:56:00Z,70,2698.545599,179.20420643336868,F,0.32,23,sep,merl,2013-04-16,1.467488022,2015-09-15,7.693,4.6,6,20,2018-01-26,,1.1647225167903854,2,2016-10-27,10,3,11/16/16,2316.9,4,4926.355716,,-0.2594479554330823
gn,spad,2015-09-10,5.6563997262149215,2015,9,2022-03-05T18:43:00Z,71,6296.218157,457.5272696476966,F,1.19,48,sep,spik,2010-01-18,2.258726899,2015-09-15,20.495,3.5,5,40,2018-01-25,,0.5580962059620597,2,2016-10-27,20,1,11/8/16,11281.6,1,6450.482367,,-0.03652323053067743
tws,dubl,2015-09-10,6.529774127310062,2015,9,2022-03-05T18:50:00Z,72,8065.77809,1268.0770064623723,M,2.05,39,sep,dixi,2009-03-05,2.321697467,2015-09-15,46.153,6.5,8,40,2018-04-25,,0.6868876381071504,2,2016-10-27,20,1,11/8/16,11742.5,1,3897.401646,,1.0624569043991443
gn,mend,2015-09-10,5.6125941136208075,2015,9,2022-03-05T21:58:00Z,73,1714.907816,183.5403019744483,F,0.37,14,sep,merl,2010-02-03,2.236824093,2015-09-15,2.398,10,4,40,2018-01-25,,1.913472706155633,2,2016-10-27,5,7,11/23/16,896.228,10,1648.106379,,0.01067894232584084
twn,ruki,2015-09-11,4.563997262149213,2015,9,2022-03-05T16:10:00Z,74,4286.382966,333.04630274874177,M,0.51,21,sep,rave,2011-02-21,2.770704997,2015-09-15,6.527,18.4,19,40,2018-05-16,,1.275648470770422,2,2016-10-27,5,7,11/23/16,3360.16,10,4482.891605,,-0.019944321885782546
gn,spor,2015-09-14,2.020533880903491,2015,9,2022-03-05T17:40:00Z,75,47013.67873,NA,F,0.79,31,sep,spik,2013-09-07,2.168377823,2015-09-15,NA,NA,NA,NA,NA,NA,0.8641489640702859,2,2016-10-27,10,3,11/16/16,54404.6,4,46857.2705,,0.009185823769558916
tws,bike,2015-09-14,6.4722792607802875,2015,9,2022-03-06T00:49:00Z,76,2497.140411,250.83601147776187,M,0.27,17,sep,bif,2009-03-26,2.264202601,2015-09-15,7.959,6.2,19,20,2018-05-16,,1.5758010521281685,2,2016-10-27,5,7,11/23/16,1584.68,10,3993.431774,,-0.16194256077363095
gn,dext,2015-09-15,2.4777549623545516,2015,9,2022-03-05T20:00:00Z,77,898.281162,NA,M,0.77,41,sep,dj,2013-03-24,1.80698152,2015-09-15,NA,NA,NA,NA,NA,NA,0.653380924053143,2,2016-10-27,20,1,11/8/16,1374.82,1,1214.852558,,-0.27006324709549917
