sample,CV,run,notes
566,1.7,8,
571,2.5,8,
573,5.9,8,
574,3.4,8,
575,1.4,8,
584,0.2,8,
585,4.5,8,
588,0.6,8,
597,1.2,8,
598,1.9,8,
600,7.5,8,
602,5.1,8,
605,9.8,8,
607,7.6,8,
608,3.9,8,
610,2.3,8,
611,2,8,
612,3.6,8,
615,3.7,8,
620,4.6,8,
3,15.4,8,
24,2.3,8,
28,6.5,8,
31,5.7,8,
34,NA,8,singlet
56,NA,8,water
66,2.7,8,
69,0.4,8,
96,3.1,8,
109,0,8,
111,1.7,8,
170,NA,8,singlet
176,9.2,8,
183,12.1,8,
184,11.2,8,
188,5.1,8,
Standard2,2.8,9,
Standard3,1.2,9,
Standard4,0.3,9,
Standard5,4.2,9,
Standard6,3.9,9,
Standard7,NA,9,
Control1,2.1,9,
Control2,4.6,9,
196,6,9,
198,NA,9,too high
201,2.4,9,
202,2.1,9,
203,13.7,9,
205,5.2,9,
207,NA,9,singlet
210,14.3,9,
213,0.9,9,
215,5.3,9,
218,7.1,9,
220,10.6,9,
222,9.2,9,
224,2.3,9,
230,9.9,9,
239,1.6,9,
249,0.9,9,
250,1.7,9,
253,5.3,9,
261,5,9,
263,2.6,9,
265,7.1,9,
269,2.4,9,
285,11.4,9,
288,1.8,9,
289,2.1,9,
290,NA,9,singlet
292,NA,9,singlet
298,2.3,9,
302,6.4,9,
317,13.6,9,
328,1,9,
338,6.3,9,
382,3,9,
398,10.4,9,
399,8.4,9,
412,3,9,
485,1.2,9,
486,1.7,9,
496,0.6,9,
521,2.4,9,
524,2.6,9,
525,2,9,
541,8.4,9,
542,5.6,9,
543,2.2,9,
569,2.8,9,
599,5.4,9,
613,1.1,9,
616,7.5,9,
388,3.4,9,
389,3,9,
395,2.4,9,
396,1.6,9,
402,8.7,9,
403,4.7,9,
404,6.3,9,
406,1.4,9,
413,9.5,9,
428,1.5,9,
264,4.8,9,
39,1.6,9,
93,0.8,9,
8,NA,9,"out of range, redone uneccessarily"
23,NA,9,"out of range, redone uneccessarily"
323,3.1,9,
415,NA,9,"out of range, yet to redo"
275,5.2,9,
