"group","subj","date","time","sample_number","Cr","SG","Cr.plate.number","Cr.date","cp_dilution","cp_run","cp_assay_date","pg.ml_ucp","cp_batch","stdcr_CP","stdsg_CP","cp_note","month","year"
"gn","mole",2016-02-11,2022-02-22 11:45:00,476,0.76,40,8,2016-11-03,20,3,"11/16/16",27430.3,3,24557.57175,18370.49563,"",2,2016
"twn","allo",2016-02-15,2022-02-22 11:19:00,479,0.8,42,8,2016-11-03,20,3,"11/16/16",10953.2,3,9315.78565,6986.216415,"",2,2016
"tws","tesl",2016-02-15,2022-02-22 15:40:00,480,0.96,45,8,2016-11-03,20,3,"11/16/16",17564.2,3,12448.74575,10456.01427,"",2,2016
"tws","fris",2016-02-15,2022-02-22 14:24:00,481,1.26,50,8,2016-11-03,20,3,"11/16/16",3068.03,3,1656.752037,1643.765667,"",2,2016
"tws","brav",2016-02-15,2022-02-22 16:20:00,483,0.98,46,8,2016-11-03,20,3,"11/16/16",14659.4,3,10177.90929,8537.066631,"",2,2016
"tws","brog",2016-02-15,2022-02-22 15:07:00,484,1.1,43,8,2016-11-03,20,3,"11/16/16",7056.43,3,4364.764425,4396.093184,"",2,2016
"twn","kabu",2016-02-16,2022-02-22 12:08:00,488,0.56,40,9,2016-11-04,20,3,"11/16/16",8679.44,3,10545.62041,5812.755041,"",2,2016
"twn","onyx",2016-02-16,2022-02-22 11:30:00,489,0.74,48,9,2016-11-04,20,3,"11/16/16",17642.9,3,16222.08637,9846.435552,"",2,2016
"twn","pam",2016-02-16,2022-02-22 14:40:00,491,0.98,49,9,2016-11-04,20,3,"11/16/16",11454.6,3,7952.841165,6262.304131,"",2,2016
"gn","spor",2016-02-16,2022-02-22 15:20:00,493,0.9,55,9,2016-11-04,20,3,"11/16/16",4455.93,3,3368.715282,2170.33102,"",2,2016
"twn","davi",2016-02-18,2022-02-22 09:24:00,504,0.54,37,9,2016-11-04,20,3,"11/16/16",4267.84,3,5377.529804,3089.987431,"",2,2016
"tws","bike",2016-02-19,2022-02-22 13:00:00,510,1.28,40,9,2016-11-04,20,3,"11/16/16",53596.9,3,28490.3745,35894.67185,"",2,2016
"gn","spor",2016-02-22,2022-02-22 15:05:00,515,0.9,44,9,2016-11-04,20,3,"11/16/16",21442.1,3,16210.38256,13054.64144,"",2,2016
"twn","onyx",2016-02-24,2022-02-22 15:00:00,519,0.88,51,9,2016-11-04,20,3,"11/16/16",43239.8,3,33432.54677,22712.44078,"",2,2016
"tws","peke",2016-03-11,2022-02-22 15:45:00,528,0.88,39,9,2016-11-04,20,3,"11/16/16",38085.1,3,29446.98835,26160.18439,"",3,2016
"gn","dext",2016-03-11,2022-02-22 16:11:00,534,0.92,38,9,2016-11-04,20,3,"11/16/16",24278,3,17955.33598,17115.10697,"",3,2016
"tws","boyd",2015-08-05,2022-02-22 14:36:00,2,0.72,35,1,2016-10-26,10,3,"11/16/16",3981.93,3,3762.95982,3047.725749,"",8,2015
"gn","spad",2015-08-12,2022-02-22 11:56:00,9,0.7,29,1,2016-10-26,10,3,"11/16/16",1833.82,3,1782.490079,1693.982871,"",8,2015
"twn","allo",2015-08-12,2022-02-22 14:50:00,10,0.97,32,1,2016-10-26,10,3,"11/16/16",7398.05,3,5189.362204,6193.235455,"",8,2015
"gn","mole",2015-08-12,2022-02-22 15:40:00,11,0.52,29,1,2016-10-26,10,3,"11/16/16",1626.88,3,2128.730256,1502.822989,"",8,2015
"gn","dann",2015-08-13,2022-02-22 10:29:00,12,0.56,36,1,2016-10-26,10,3,"11/16/16",2153.18,3,2616.138708,1602.242118,"",8,2015
"gn","ropa",2015-08-13,2022-02-22 10:25:00,13,0.8,32,1,2016-10-26,10,3,"11/16/16",4400.5,3,3742.661026,3683.853532,"",8,2015
"gn","spad",2015-08-13,2022-02-22 14:18:00,16,0.76,24,1,2016-10-26,10,3,"11/16/16",3574.2,3,3199.880167,3989.494919,"",8,2015
"tws","burn",2015-08-14,2022-02-22 10:59:00,17,1.07,32,1,2016-10-26,10,3,"11/16/16",7653.96,3,4867.106697,6407.469055,"",8,2015
"gn","mend",2015-08-18,2022-02-22 11:36:00,19,0.86,31,1,2016-10-26,10,3,"11/16/16",6680.14,3,5285.128726,5772.636061,"",8,2015
"tws","dubl",2015-08-18,2022-02-22 14:40:00,20,0.96,28,1,2016-10-26,10,3,"11/16/16",2131.58,3,1510.771767,2039.360075,"",8,2015
"twn","petr",2015-08-19,2022-02-22 15:20:00,21,0.56,24,1,2016-10-26,10,3,"11/16/16",2875.32,3,3493.547195,3209.410366,"",8,2015
"gn","renl",2015-08-21,2022-02-22 10:17:00,25,0.54,28,1,2016-10-26,10,3,"11/16/16",1892.11,3,2384.08139,1810.250421,"",8,2015
"gn","dann",2015-08-21,2022-02-22 10:22:00,26,0.39,35,1,2016-10-26,10,3,"11/16/16",18630,3,32502.49531,14259.19861,"",8,2015
"twn","safi",2015-08-21,2022-02-22 12:47:00,27,0.39,31,1,2016-10-26,10,3,"11/16/16",6270.25,3,10939.27918,5418.430042,"",8,2015
"tws","bong",2015-08-24,2022-02-22 08:50:00,29,0.46,27,2,2016-10-27,10,3,"11/16/16",1887.77,3,2792.284753,1872.990711,"",8,2015
"gn","ropa",2015-08-24,2022-02-22 16:04:00,30,0.62,23,2,2016-10-27,10,3,"11/16/16",58418.8,3,64110.53464,68041.69176,"",8,2015
"tws","peke",2015-08-25,2022-02-22 10:57:00,32,0.59,26,2,2016-10-27,10,3,"11/16/16",8927.69,4,10295.69211,9198.479847,"",8,2015
"tws","blas",2015-08-25,2022-02-22 11:13:00,33,0.84,29,2,2016-10-27,10,3,"11/16/16",5225.77,4,4232.914163,4827.281231,"",8,2015
"tws","fris",2015-08-26,2022-02-22 12:51:00,35,0.58,24,2,2016-10-27,10,3,"11/16/16",3188.8,4,3740.828035,3559.314363,"",8,2015
"twn","keny",2015-08-28,2022-02-22 10:39:00,42,0.84,26,2,2016-10-27,10,3,"11/16/16",3765,4,3049.679152,3879.197936,"",8,2015
"tws","brog",2015-08-28,2022-02-22 12:01:00,44,0.65,24,2,2016-10-27,10,3,"11/16/16",2425.29,4,2538.743216,2707.090295,"",8,2015
"tws","peke",2015-08-28,2022-02-22 12:24:00,45,0.84,32,2,2016-10-27,10,3,"11/16/16",5202.92,4,4214.405486,4355.594868,"",8,2015
"gn","spor",2015-08-31,2022-02-22 11:21:00,47,0.49,27,2,2016-10-27,10,3,"11/16/16",2955.06,4,4103.35111,2931.924932,"",8,2015
"twn","ruki",2015-09-01,2022-02-22 15:03:00,50,0.8,22,2,2016-10-27,10,3,"11/16/16",1310.38,4,1114.488843,1595.603141,"",9,2015
"twn","amos",2015-09-04,2022-02-22 12:49:00,55,0.64,27,2,2016-10-27,10,3,"11/16/16",2537.27,4,2697.460954,2517.405796,"",9,2015
"tws","burn",2015-09-04,2022-02-22 11:48:00,57,0.54,23,2,2016-10-27,10,3,"11/16/16",2549.04,4,3211.821102,2968.924284,"",9,2015
"gn","ropa",2015-09-07,2022-02-22 13:40:00,60,0.51,33,2,2016-10-27,10,3,"11/16/16",4051.68,4,5405.46946,3289.057797,"",9,2015
