subj,group,year,month,sex,age,mrank,log2_avg_neo,log2_avg_cp_tar,avg_cr_resid,avg_rain,n_partners,r,f,m
boyd,tws,2015,12,F,3.696098562628337,0.217,9.705462569450898,11.678692879987903,0.1685444590964867,5.9,10,0.44,0.26666666666666666,0.15333333333333332
brav,tws,2016,1,M,2.8035592060232717,0.826,8.424218820514136,12.955038759167671,0.005722372030928695,2.8548387096774195,16,0.42,0.15333333333333332,0.18333333333333332
brav,tws,2016,2,M,2.8884325804243667,0.826,9.398900073168727,12.737446178233524,-0.10626394623514895,1.3344827586206895,5,0.3868421052631579,0.2789473684210526,0.1763157894736842
brav,tws,2016,3,M,2.967830253251198,0.826,9.514706072504602,12.333921845222834,0.008646765293668604,2.5,10,0.33666666666666667,0.21666666666666667,0.23
brav,tws,2015,9,M,2.4695414099931554,0.826,10.24334858411563,11.66046819700923,0.22358930837749338,7.55,11,0.30333333333333334,0.3566666666666667,0.21
brav,tws,2015,10,M,2.5516769336071183,0.826,8.7554666892974,12.27356194560432,-0.0292084260333923,7.490322580645161,5,0.3125,0.31875,0.2125
brav,tws,2015,11,M,2.6365503080082138,0.826,9.609704520229965,14.26238612605502,0.5307564277760581,9.96,4,0.33,0.32,0.21
brav,tws,2015,12,M,2.7186858316221767,0.826,9.020635938668459,12.219103154749595,0.1388335711031527,5.9,17,0.3521594684385382,0.34219269102990035,0.1461794019933555
brog,tws,2016,1,F,6.995208761122519,0.826,9.072121963427456,14.353436188900051,-0.023043170376798733,2.8548387096774195,12,0.37333333333333335,0.2633333333333333,0.20666666666666667
brog,tws,2016,2,F,7.080082135523614,0.826,10.234064764655818,13.807013372158348,0.2724817894495513,1.3344827586206895,9,0.3,0.3972222222222222,0.15
brog,tws,2016,3,F,7.1594798083504445,0.826,9.871765418914192,12.6139246784095,0.003527321650763487,2.5,29,0.48333333333333334,0.12666666666666668,0.14333333333333334
brog,tws,2015,8,F,6.576317590691307,0.826,9.243654967031526,12.079000921245758,-0.011877888407292599,8.241935483870968,9,0.505,0.135,0.205
brog,tws,2015,9,F,6.661190965092403,0.826,10.47153274631216,14.786409450346904,0.8921786562505383,7.55,7,0.42333333333333334,0.2633333333333333,0.21
brog,tws,2015,10,F,6.743326488706366,0.826,9.625030208352525,12.066454297022842,0.3130616233264951,7.490322580645161,4,0.29,0.33666666666666667,0.18
brog,tws,2015,12,F,6.910335386721424,0.826,11.389710901714068,13.698769056687466,1.030473720345398,5.9,17,0.37666666666666665,0.24,0.21666666666666667
burn,tws,2016,1,F,6.877481177275839,0.13,9.789013246581824,14.221974305773738,-0.14331404845196558,2.8548387096774195,17,0.33,0.31666666666666665,0.11
burn,tws,2016,2,F,6.962354551676934,0.13,8.913707280539711,13.455730850845711,0.4292226991645546,1.3344827586206895,14,0.2833333333333333,0.3888888888888889,0.13333333333333333
burn,tws,2016,3,F,7.041752224503765,0.13,9.79325836975319,14.68184418496169,-0.05755310788449479,2.5,21,0.42333333333333334,0.21333333333333335,0.21
burn,tws,2015,8,F,6.458590006844627,0.13,8.961533722006966,13.184893828439304,-0.03450422797730198,8.241935483870968,4,0.3277777777777778,0.35555555555555557,0.2
burn,tws,2015,9,F,6.543463381245722,0.13,7.729227904322159,10.80025049492696,-0.13538176819803796,7.55,6,0.3,0.37,0.21333333333333335
burn,tws,2015,10,F,6.625598904859685,0.13,8.602588246156285,13.167324822783412,0.1124596090022801,7.490322580645161,9,0.28125,0.3625,0.209375
burn,tws,2015,11,F,6.71047227926078,0.13,9.315292462308493,12.53352190927264,0.5106954216000377,9.96,9,0.33666666666666667,0.37333333333333335,0.15
burn,tws,2015,12,F,6.792607802874743,0.13,9.402628720739896,13.442360303053482,0.43161060937083967,5.9,8,0.45,0.18333333333333332,0.23666666666666666
dais,gn,2016,1,F,5.897330595482546,0,8.994610476828166,14.302400779723476,0.24115814112433934,2.8548387096774195,10,0.37333333333333335,0.28,0.19666666666666666
dais,gn,2016,2,F,5.982203969883641,0,9.116772036450142,14.088480802737427,-0.1446284468899911,1.3344827586206895,12,0.375,0.3388888888888889,0.17222222222222222
dais,gn,2016,3,F,6.061601642710472,0,10.22395434545213,12.821532826640238,0.3056939696492341,2.5,10,0.38333333333333336,0.23666666666666666,0.17666666666666667
dais,gn,2015,10,F,5.645448323066393,0,8.719315725321131,11.722876475969398,0.009804421963394634,7.490322580645161,4,0.29375,0.390625,0.178125
dais,gn,2015,11,F,5.730321697467488,0,11.916764533088186,11.19159483619758,0.10360901792962665,9.96,5,0.43333333333333335,0.32,0.15
dais,gn,2015,12,F,5.812457221081451,0,10.892636197871706,14.686258315823109,0.6647240872589893,5.9,9,0.36666666666666664,0.23,0.16333333333333333
dame,tws,2016,1,F,4.0219028062970565,0.957,8.29823573867622,13.085674830849664,-0.12113241154534249,2.8548387096774195,17,0.38333333333333336,0.24,0.17666666666666667
dame,tws,2016,2,F,4.1067761806981515,0.957,10.042412164557195,11.76080994348087,0.08769265877468918,1.3344827586206895,11,0.3638888888888889,0.35555555555555557,0.15
dame,tws,2016,3,F,4.186173853524983,0.957,9.26053857108997,13.016126249493816,-0.11221688401307489,2.5,18,0.5366666666666666,0.15,0.19
dame,tws,2015,8,F,3.6030116358658453,0.957,8.551558788093313,9.879872088005195,-0.20946105319068953,8.241935483870968,3,0.35555555555555557,0.25,0.2611111111111111
