subj,group,year,month,sex,age,mrank,log2_neo,log2_cp_tar,cr_resid,sample_interval
blas,tws,2015,11,M,3.783709787816564,0.13,9.0375562539861,12.047248745112036,0.7106954216000378,4
peke,tws,2015,11,M,4.876112251882272,0.174,8.908408769144206,12.721974492877653,0.8257223720309286,29
pira,gn,2015,11,M,4.799452429842574,0.947,12.250708593673698,11.703368936938801,0.2591714122000817,26
fris,tws,2015,11,M,6.715947980835044,0.625,9.828724463503706,13.619995850749431,0.8657223720309286,14
brav,tws,2015,11,M,2.6365503080082138,0.826,9.609704520229965,14.26238612605502,0.5307564277760581,14
tatu,tws,2015,11,M,6.707734428473648,1,9.730565864022749,12.59717006226714,0.18473407759957478,25
boyd,tws,2015,11,F,3.6139630390143735,0.217,8.954949881974645,11.967554774650946,-0.0242947236238957,25
ruki,twn,2015,11,M,4.731006160164271,0.273,9.492622737948142,11.729174315404446,0.12679900937910651,1
renl,gn,2015,11,M,2.5516769336071183,0.263,9.787748048466709,11.793132302291061,0.1397131479667711,25
stre,gn,2015,11,F,6.699520876112252,0.684,9.250793181932107,15.391232177064092,0.11641059224775993,27
mayh,gn,2015,11,F,5.672826830937714,0.789,9.283410133514208,14.761891645493256,0.17641059224776,10
bike,tws,2015,11,M,6.639288158795345,0.261,9.191623240997979,12.974891035827802,0.1232986822454806,13
davi,twn,2015,11,F,2.1820670773442847,1,9.234118375002376,14.040117417566456,0.47228645797410157,9
ruki,twn,2015,11,M,4.731006160164271,0.273,9.083635708562378,11.259237611049143,0.2684453022601414,8
keny,twn,2015,11,M,5.768651608487337,0.455,7.601615755532825,11.661829189196277,0.28056891783106686,12
amos,twn,2015,11,M,5.7440109514031485,0.636,8.887750035130843,13.40922531613654,0.4500405793057414,24
ropa,gn,2015,11,M,5.90280629705681,0.263,9.40831549991259,13.988956805382015,0.15570527637610435,8
dean,gn,2015,11,M,4.848733744010952,0.211,9.267005653706304,13.931183535314098,0.11570527637610431,7
dext,gn,2015,11,M,2.64476386036961,0.579,9.187707292960424,13.844985598894347,0.19570527637610438,34
spor,gn,2015,11,F,2.187542778918549,0.368,NA,12.038530074968968,0.07354404221110762,33
mole,gn,2015,11,F,2.5817932922655715,0.737,NA,12.271218253827797,0.3553986391054188,34
pam,twn,2015,11,F,2.6885694729637235,0.091,8.098282484526777,13.240342756764873,0.08329868224548057,5
blas,tws,2015,11,M,3.783709787816564,0.13,9.897187314063528,13.895118794747203,-0.22747420285835845,25
dame,tws,2015,11,F,3.8548939082819986,0.957,9.995077994679955,13.49778664334668,0.0632986822454806,6
pam,twn,2015,12,F,2.7707049965776864,0.091,9.39739648257834,14.559910511250738,-0.02627131248660342,17
safi,twn,2015,12,F,2.8008213552361396,0.818,8.347619568225035,12.67175053250462,-0.01465264785905402,20
dame,tws,2015,12,F,3.9370294318959616,0.957,12.203963183718342,12.533775545589727,0.5857223720309286,27
king,twn,2015,12,M,4.117727583846681,0.364,8.507490905003424,8.225532960148058,-0.06321125209051695,15
ruki,twn,2015,12,M,4.813141683778234,0.273,8.680550157169868,10.33284953793652,0.07228645797410155,18
atom,tws,2015,12,F,6.811772758384668,0.556,NA,11.672328871229412,0.19228645797410157,26
dean,gn,2015,12,M,4.930869267624915,0.211,8.888752348719766,13.665131339847541,0.0592739861290274,4
ropa,gn,2015,12,M,5.984941820670773,0.263,8.358964541819045,12.474722280671447,-0.005351400674546702,26
mayh,gn,2015,12,F,5.754962354551677,0.789,9.683381455478457,12.357879419524558,0.2992739861290275,24
dais,gn,2015,12,F,5.812457221081451,0,10.892636197871706,14.686258315823109,0.6647240872589893,33
dann,gn,2015,12,M,2.86652977412731,0,8.66103616325688,10.352594659879099,-0.07203858348591217,NA
brog,tws,2015,12,F,6.910335386721424,0.826,NA,13.423070249087653,1.5862988413653425,24
bong,tws,2015,12,M,2.614647501711157,0.696,10.109849885463985,11.666135039190339,0.20796141651408787,14
sevi,tws,2015,12,F,2.6858316221765914,0.87,9.779342407227427,11.072971675413456,0.8592739861290274,25
davi,twn,2015,12,F,2.2642026009582477,1,9.717465597310461,12.274512382222488,0.10360901792962665,14
kabu,twn,2015,12,F,2.6584531143052703,0.455,7.341013205179581,11.428998518573739,0.0036090179296266248,15
onyx,twn,2015,12,M,2.841889117043121,0.909,7.571818746267114,11.036991089337832,-0.016390982070373396,27
allo,twn,2015,12,M,2.6830937713894594,0.636,8.867167148061476,12.804023904732237,0.10050736939697062,14
keny,twn,2015,12,M,5.8507871321013,0.455,9.075930697080704,12.156648770209621,0.20534735214094596,24
dean,gn,2015,12,M,4.930869267624915,0.211,9.950503976943454,10.87525498566719,0.013544042211107677,38
bike,tws,2015,12,M,6.721423682409308,0.261,NA,12.136078926621483,0.5257223720309285,21
brav,tws,2015,12,M,2.7186858316221767,0.826,8.55424839874339,11.684470816421674,0.1322286079534657,14
dubl,tws,2015,12,M,6.778918548939083,0.957,9.127713204405703,13.259408490340727,0.15021412936764886,22
fris,tws,2015,12,M,6.798083504449007,0.625,8.693269922126019,11.286599004611961,0.09604240654297803,24
tesl,tws,2015,12,F,2.784394250513347,1,NA,10.360784094907531,0.0032986822454805515,12
davi,twn,2015,12,F,2.2642026009582477,1,8.535301040471506,12.053762461273353,0.027961416514087865,19
king,twn,2015,12,M,4.117727583846681,0.364,8.244775056939494,9.093255131066384,0.019713147966771094,18
pam,twn,2015,12,F,2.7707049965776864,0.091,10.091645153781728,12.7343441497227,0.02056891783106688,26
tatu,tws,2015,12,M,6.789869952087611,1,NA,12.370300225576656,1.353589308377493,12
bong,tws,2015,12,M,2.614647501711157,0.696,9.614077364463487,-13.287712379549449,0.24473407759957483,27
boyd,tws,2015,12,F,3.696098562628337,0.217,8.275330707418156,11.459658074376382,0.14050736939697062,10
spad,gn,2015,12,F,5.905544147843942,0.368,8.858013262039432,12.796996972113517,0.0023824688468841553,13
mend,gn,2015,12,F,5.861738535249829,0.737,9.098886754709806,13.655524537800778,0.006799009379106508,9
amos,twn,2015,12,M,5.8261464750171115,0.636,8.73334782658837,11.892649052319696,0.13228645797410155,10
petr,twn,2015,12,F,5.700205338809035,0.091,9.255430249987755,12.890206352989,0.11228645797410158,2
kabu,twn,2015,12,F,2.6584531143052703,0.455,9.485689230054321,13.396572058082464,0.1322286079534657,25
pira,gn,2015,12,M,4.8815879534565365,0.947,9.153346472384595,12.720594296112,0.013544042211107677,12
burn,tws,2015,12,F,6.792607802874743,0.13,9.795857117822216,14.162576436740856,1.0125257971416415,9
renl,gn,2015,12,M,2.6338124572210813,0.263,8.648365789354086,10.195935992354135,-0.1142776279690713,12
stre,gn,2015,12,F,6.781656399726215,0.684,NA,15.54939126052635,0.2535893083774934,10
petr,twn,2015,12,F,5.700205338809035,0.091,8.701510451387586,12.753022351808406,-0.007474202858358498,10
safi,twn,2015,12,F,2.8008213552361396,0.818,11.543589831263137,14.225563556483795,-0.0608285877999183,14
allo,twn,2015,12,M,2.6830937713894594,0.636,NA,14.185737895462754,0.22642191784989055,8
brav,tws,2015,12,M,2.7186858316221767,0.826,9.034444425744477,12.507699289596292,-0.10065710937724409,1
ruki,twn,2015,12,M,4.813141683778234,0.273,8.306125041574443,10.398899557704075,0.11004057930574133,10
peke,tws,2015,12,M,4.958247775496235,0.174,9.35053705160733,15.165338952111174,0.1645189394010978,7
blas,tws,2015,12,M,3.865845311430527,0.13,8.252927393470863,14.328530891393852,0.5737286875133965,8
brav,tws,2015,12,M,2.7186858316221767,0.826,9.361606145275632,12.341065840042987,0.3849292147332365,15
ting,gn,2015,12,M,4.906228610540725,0.526,9.740793105186304,14.357534970489452,0.4591714122000817,7
brog,tws,2015,12,F,6.910335386721424,0.826,11.389710901714068,13.930139894951903,0.4746485993254533,11
bike,tws,2015,12,M,6.721423682409308,0.261,11.990602283475784,14.37633755132189,0.7146485993254531,14
mayh,gn,2015,12,F,5.754962354551677,0.789,8.148451366701305,3.8385548443260302,-0.0664559577888924,7
mend,gn,2015,12,F,5.861738535249829,0.737,NA,12.671774031424501,-0.020828587799918256,18
burn,tws,2015,12,F,6.792607802874743,0.13,8.860319607675272,11.938346752591757,-0.14930457839996217,17
boyd,tws,2015,12,F,3.696098562628337,0.217,10.409363288406842,11.86881460806718,0.19658154879600276,7
sevi,tws,2015,12,F,2.6858316221765914,0.87,NA,14.047657174010212,-0.1262713124866034,6
peke,tws,2015,12,M,4.958247775496235,0.174,9.171864075230557,10.35280940295617,0.14238246884688416,16
dubl,tws,2015,12,M,6.778918548939083,0.957,9.4470827360914,13.922461962463611,0.7934157379319415,16
atom,tws,2015,12,F,6.811772758384668,0.556,8.476982933533526,12.4052823878256,0.08060310914071547,7
allo,twn,2015,12,M,2.6830937713894594,0.636,7.920190162213068,9.369136073016932,-0.14535140067454672,27
amos,twn,2015,12,M,5.8261464750171115,0.636,9.076971978281366,11.991384831370798,0.29222860795346567,15
spor,gn,2015,12,F,2.269678302532512,0.368,8.855221639398389,13.360569607209527,0.14572237203092872,1
dext,gn,2015,12,M,2.726899383983573,0.579,8.117892233594675,11.004775875202784,-0.07670131775451941,1
ting,gn,2015,12,M,4.906228610540725,0.526,8.442242990748893,12.42120015217954,-0.06460136089458123,1
spor,gn,2015,12,F,2.269678302532512,0.368,8.416099306107801,12.25117068317145,-0.016390982070373396,5
dame,tws,2015,12,F,3.9370294318959616,0.957,10.072133421344985,13.71358273866101,0.8062988413653425,5
tatu,tws,2015,12,M,6.789869952087611,1,10.580351981137047,6.843739444785207,-0.06072601387097261,15
blas,tws,2015,12,M,3.865845311430527,0.13,10.713876039572122,14.24672412404554,0.5135893083774934,9
tesl,tws,2015,12,F,2.784394250513347,1,9.926784000896587,13.349248104032638,0.17866754577285707,13
mole,gn,2015,12,F,2.6639288158795345,0.737,7.905167243620831,10.903652165356755,-0.07155469773985856,7
ropa,gn,2015,12,M,5.984941820670773,0.263,8.067673058620736,12.7703090526677,0.010040579305741367,7
stel,gn,2015,12,F,2.6064339493497606,0.684,7.74323458110437,11.66893584486354,-0.09943108216893312,1
spad,gn,2015,12,F,5.905544147843942,0.368,NA,11.299748355110335,-0.0764559577888923,4
pira,gn,2015,12,M,4.8815879534565365,0.947,8.666168984657427,13.229074454261031,0.12360901792962656,7
stre,gn,2015,12,F,6.781656399726215,0.684,9.272833768907304,10.58825056620996,0.4005073693969706,11
renl,gn,2015,12,M,2.6338124572210813,0.263,8.863088874072082,13.328401418707605,0.16360901792962662,11
stel,gn,2015,12,F,2.6064339493497606,0.684,8.284016435284379,10.062875020798078,0.08360901792962663,20
dext,gn,2015,12,M,2.726899383983573,0.579,7.615391893065492,13.35514208339627,-0.08535140067454672,4
petr,twn,2015,12,F,5.700205338809035,0.091,8.343637945731825,13.835904175051176,0.34472408725898934,5
ruki,twn,2015,12,M,4.813141683778234,0.273,NA,10.923078479950854,0.15658154879600272,6
fris,tws,2015,12,M,6.798083504449007,0.625,9.194325397882933,14.300041287345891,0.49866754577285716,4
onyx,twn,2015,12,M,2.841889117043121,0.909,9.72148230320259,13.829502685636031,-0.00460136089458129,6
keny,twn,2015,12,M,5.8507871321013,0.455,9.579926877982787,12.776916536041789,0.28629884136534234,4
ting,gn,2015,12,M,4.906228610540725,0.526,7.937319987952854,12.394985713263297,-0.07155469773985856,26
spad,gn,2016,1,F,5.990417522245037,0.368,8.071235608732222,13.709389423781085,-0.0942776279690713,17
spor,gn,2016,1,F,2.3545516769336072,0.368,7.937463318641054,13.446316329633783,-0.06771354202589847,7
sevi,tws,2016,1,F,2.7707049965776864,0.87,NA,14.401359463310142,-0.4725961000295249,2
mayh,gn,2016,1,F,5.839835728952772,0.789,8.466638677191476,13.968905500461013,-0.20460136089458125,23
safi,twn,2016,1,F,2.8856947296372346,0.818,8.711192871243789,13.486968662995478,-0.18072601387097256,21
dame,tws,2016,1,F,4.0219028062970565,0.957,8.223813366610637,13.384186064458255,-0.26065710937724396,1
dext,gn,2016,1,M,2.811772758384668,0.579,7.7949203462772,13.731994676608123,-0.09155469773985858,10
keny,twn,2016,1,M,5.935660506502396,0.455,8.743123860072782,12.880726206571364,-0.05203858348591216,21
boyd,tws,2016,1,F,3.780971937029432,0.217,8.56888713268357,13.600797325697403,-0.10001332155604045,23
fris,tws,2016,1,M,6.882956878850103,0.625,9.416124448709224,14.132921554857717,0.8847340775995746,21
petr,twn,2016,1,F,5.7850787132101305,0.091,8.870227482202793,14.627541350572226,-0.3461140446924064,31
atom,tws,2016,1,F,6.896646132785763,0.556,8.656075810886705,13.934212385545964,-0.09967564913109081,7
king,twn,2016,1,M,4.202600958247776,0.364,7.5518614496386425,14.36896256654415,-0.33289326883405623,22
dame,tws,2016,1,F,4.0219028062970565,0.957,8.696168543519647,12.579478848071991,0.13252579714164164,6
davi,twn,2016,1,F,2.349075975359343,1,9.975441406201504,13.13865538301033,-0.40930457839996215,1
brav,tws,2016,1,M,2.8035592060232717,0.826,8.424218820514136,12.955038759167671,0.005722372030928695,28
sevi,tws,2016,1,F,2.7707049965776864,0.87,9.239669672522652,11.141323942387796,0.044734077599574804,29
onyx,twn,2016,1,M,2.926762491444216,0.909,10.061580178357302,13.864468519739573,-0.19190181824731783,19
dais,gn,2016,1,F,5.897330595482546,0,9.641940890494823,15.149632541950552,0.09358930837749324,5
ropa,gn,2016,1,M,6.069815195071868,0.263,8.702511929267079,9.516500970927696,-0.0794310821689331,5
mole,gn,2016,1,F,2.74880219028063,0.737,8.5922129109198,12.076688547604258,-0.14930457839996217,14
