"group","subj","date","age","year","month","time","sample_number","stdsg_CP","neo_sg","sex","Cr","SG","month.name","mum","bday","weaning","mid","neo_value","neo_CV","neo_plate_number","neo_dilution","neo_date_assayed","neo_note","SG_corr_fac","Cr.plate.number","Cr.date","cp_dilution","cp_run","cp_assay_date","pg.ml_ucp","cp_batch","stdcr_CP","cp_note","month_name","pl","gmd","gm","r","f","m","sl","n_agg_g","n_agg_r","n_obs","mrank","fai","fai_cat","avg_rain","cr_resid"
"gn","dean","2015-08-20",4.5968514715948,2015,8,"2022-03-05 12:00:00",23,2852.354619,127.221581670362,"M",0.14,11,"aug","desd","2011-01-09",2.302532512,"2015-08-15",1.306,3.2,4,40,"2018-01-25",NA,2.43532889874353,1,"2016-10-26",5,5,"11/24/16",1171.24,9,5692.280813,"redid in batch 14 run 9, but wasn't necessary!","aug",0.0167597765363128,0,0.0223463687150838,0.346368715083799,0.424581005586592,0.139664804469274,0,2,7,179,0.211,44096.4490384615,"low",8.24193548387097,-0.147453684061523
"gn","mend","2015-08-21",5.52772073921971,2015,8,"2022-03-05 12:13:00",24,2148.941256,108.523667570009,"F",0.13,9,"aug","merl","2010-02-03",2.236824093,"2015-08-15",1.823,11.7,6,20,"2018-01-26",NA,2.97651309846432,1,"2016-10-26",2,8,"11/23/16",721.966,12,3778.695093,"","aug",0.0166666666666667,0.0111111111111111,0.0388888888888889,0.383333333333333,0.327777777777778,0.144444444444444,0,1,1,180,0.737,44096.4490384615,"low",8.24193548387097,-0.10996106247912
"gn","renl","2015-08-21",2.29979466119096,2015,8,"2022-03-05 10:17:00",25,1810.250421,506.41968641115,"M",0.54,28,"aug","robe","2013-04-27",1.834360027,"2015-08-15",13.233,6.3,1,40,"2018-01-11",NA,0.956736353077816,1,"2016-10-26",10,3,"11/16/16",1892.11,3,2384.08139,"","aug",0,0,0,0.472222222222222,0.25,0.222222222222222,0,0,1,180,0.263,44096.4490384615,"low",8.24193548387097,-0.164673402192401
"gn","dann","2015-08-21",2.53251197809719,2015,8,"2022-03-05 10:22:00",26,14259.19861,192.663739837398,"M",0.39,35,"aug","daff","2013-02-01",1.552361396,"2015-08-15",6.293,0.8,1,40,"2018-01-11",NA,0.765389082462253,1,"2016-10-26",10,3,"11/16/16",18630,3,32502.49531,"","aug",0,0,0,0.366666666666667,0.266666666666667,0.266666666666667,0,0,2,180,0,44096.4490384615,"low",8.24193548387097,-0.493508298594016
"twn","safi","2015-08-21",2.46680355920602,2015,8,"2022-03-05 12:47:00",27,5418.430042,294.398269079465,"F",0.39,31,"aug","saph","2013-02-25",1.741273101,"2015-08-15",8.517,10.6,17,40,"2018-05-15",NA,0.864148964070286,1,"2016-10-26",10,3,"11/16/16",6270.25,3,10939.27918,"","aug",0,0.00555555555555556,0.0333333333333333,0.261111111111111,0.4,0.183333333333333,0,0,2,180,0.818,521089.197916667,"low",8.24193548387097,-0.390814176230441
"twn","pam","2015-08-24",2.43668720054757,2015,8,"2022-03-05 09:34:00",28,1534.545793,878.130894308943,"F",0.12,6,"aug","park","2013-03-08",1.796030116,"2015-08-15",4.917,7.5,17,40,"2018-05-15",NA,4.46476964769648,1,"2016-10-26",2,8,"11/23/16",343.701,12,1948.803299,"","aug",0,0.0222222222222222,0.0333333333333333,0.266666666666667,0.272222222222222,0.244444444444444,0,0,1,180,0.091,521089.197916667,"low",8.24193548387097,-0.0493505713445438
"tws","bong","2015-08-24",2.28062970568104,2015,8,"2022-03-05 08:50:00",29,1872.990711,345.553327311051,"M",0.46,27,"aug","bonn","2013-05-04",1.971252567,"2015-08-15",8.707,10.6,18,40,"2018-05-15",NA,0.992171032821439,2,"2016-10-27",10,3,"11/16/16",1887.77,3,2792.284753,"","aug",0.00555555555555556,0,0.00555555555555556,0.411111111111111,0.183333333333333,0.227777777777778,0,0,1,180,0.696,7755239.42916667,"low",8.24193548387097,-0.21946072851013
"gn","ropa","2015-08-24",5.65092402464066,2015,8,"2022-03-05 16:04:00",30,68041.69176,114.096217744786,"M",0.62,23,"aug","robe","2009-12-20",3.529089665,"2015-08-15",9.796,3.6,1,10,"2018-01-11",NA,1.16472251679039,2,"2016-10-27",10,3,"11/16/16",58418.8,3,64110.53464,"","aug",0,0,0,0.25,0.622222222222222,0.1,0,3,4,180,0.263,44096.4490384615,"low",8.24193548387097,0.0405520445669178
"gn","pira","2015-08-25",4.54757015742642,2015,8,"2022-03-05 08:30:00",31,1323.296492,157.363995354239,"M",0.12,7,"aug","pinc","2011-01-27",1.35797399,"2015-08-15",1.028,1.7,5,40,"2018-01-25",NA,3.82694541231127,2,"2016-10-27",2,8,"11/23/16",345.784,12,1960.614022,"","aug",0,0,0.0777777777777778,0.438888888888889,0.266666666666667,0.155555555555556,0,2,1,180,0.947,44096.4490384615,"low",8.24193548387097,-0.0728036095575319
"tws","peke","2015-08-25",4.62422997946612,2015,8,"2022-03-05 10:57:00",32,9198.479847,334.157098186367,"M",0.59,26,"aug","pans","2010-12-30",2.814510609,"2015-08-15",8.108,6,7,40,"2018-04-17",NA,1.03033145716073,2,"2016-10-27",10,3,"11/16/16",8927.69,4,10295.69211,"","aug",0.0446927374301676,0.0111731843575419,0.00558659217877095,0.452513966480447,0.251396648044693,0.173184357541899,0,0,2,179,0.174,7755239.42916667,"low",8.24193548387097,-0.0643318469930618
